article_text,paragraphs,article,n_characters,news_site,article_text_eng
"Itt tehát sántít Orbán Viktor múlt heti reakciója, miszerint Magyarország saját erejéből, uniós segítség nélkül is megoldja a következő évek finanszírozását. Bár valószínűleg tudnánk a nemzetközi piacról hitelt felvenni, így ebből a szempontból át tudnánk vészelni a helyzetet uniós hitel nélkül is, csak éppen sokkal magasabb kamatkiadások mellett.",13,3,349,Index,"Viktor Orbán's reaction last week to the fact that Hungary will solve the financing of the coming years on its own resources, even without EU assistance, is limping here. Although we would probably be able to borrow from the international market, we would be able to get through the situation from this point of view even without EU credit, only with much higher interest rates."
"Ha Orbán Viktor meggondolná magát vétóügyben, akkor ebből a 360 milliárdos NGEU-hitelkeretből Magyarország maximum 8,91 milliárd eurót tudna felvenni nulla százalék körüli kamattal. (A Bruegel Intézet munkatársa egyrészt itt az alapján számolt, hogy 2018-as áron a tagországok maximum a bruttó hazai össztermékük 6,8 százalékáig vehetnek fel hitelt, illetve hogy minden bizonnyal az a 17 ország venné fel kölcsönt, amely korábban a SURE elnevezésű alapból is felvett, vagyis tényleg rászorul.)",14,3,493,Index,"If Viktor Orbán changed his mind in a veto case, Hungary would be able to raise a maximum of EUR 8.91 billion from this 360 billion NGEU credit facility at an interest rate of around zero percent. (On the one hand, the staff of the Bruegel Institute calculated here on the basis of the fact that at 2018 prices Member States can borrow up to 6.8 percent of their gross domestic product, and that the 17 countries that previously borrowed from the SURE fund would probably take out loans, i.e. in need.)"
"Mindezek fényében Orbán Viktornak lehetnek gazdaságpolitikailag értelmezhető érvei arra, hogy miért ne ejtse a jogállamisági mechanizmus miatt bejelentett vétót, ám ezeket egyelőre nem ismerjük.",15,3,194,Index,"In light of all this, Mr. Orbán may have economic politically interpreted arguments as to why he should not drop the veto announced for the rule of law mechanism, but we do not know them yet."
"
                          (Borítókép: Orbán Vikor. Fotó: Miniszterelnöki Sajtóiroda / Benko Vivien Cher)
",16,3,130,Index,"
(Bookcover: Orbán Vikor. Photo: Prime Minister's Press Office/Benko Vivien Cher)"
Lengyelország továbbra is  kész megvétózni az uniós költségvetést – mondta Mateusz Morawiecki lengyel miniszterelnök Angela Merkel német kancellárral tartott online megbeszélésén az MTI szerint. ,1,4,195,Index,"Poland is still ready to veto the EU budget — Mateusz Morawiecki, Polish Prime Minister told MTI at an online meeting with German Chancellor Angela Merkel."
"A miniszterelnök Facebookon közzétett beszámolójában aláhúzta: az a közös siker, amellyel a júliusi uniós állam- és kormányfői csúcstalálkozó költségvetési tárgyalásai végződtek,",2,4,178,Index,"In a statement published on Facebook, the Prime Minister underlined that the joint success that ended the budget negotiations of the EU Heads of State and Government Summit in July,"
"„megfelelő, az összes EU-tagállam által megerősítendő"" jogi előírásokban kell, hogy testet öltsön.",3,4,98,Index,"“appropriate, to be confirmed by all EU Member States” should take the form of legal requirements."
"A lengyel kormányfő ugyanakkor azt is jelezte, hogy országa továbbra is kész megvétózni az EU költségvetését, amennyiben ",4,4,121,Index,"At the same time, the Polish Prime Minister also indicated that his country is still ready to veto the EU budget if"
"Kiemelte továbbá, hogy Lengyelország várja a költségvetésről szóló európai uniós tárgyalások folytatását, és gyors eredményre számít, valamint arra, hogy",5,4,153,Index,He also stressed that Poland is looking forward to continuing negotiations with the EU on the budget and expects a swift outcome and that
garantálni fogják a tagállami jogokat és tiszteletben tartják az uniós alapszerződésekben foglalt eljárásokat.,6,4,110,Index,guarantee Member States' rights and respect the procedures laid down in the EU Treaties.
"Hozzátette: Az elsődleges jogot rögzítő alapszerződések magasabb rendűek minden másodlagos mechanizmusnál, így azoknál is, amelyeket az uniós intézmények jelenlegi javaslatai tartalmaznak.  Lengyelország szempontjából ez képezi a további uniós tárgyalások alapját és kiindulópontját – fejtette ki. ",7,4,298,Index,"He added that the basic treaties fixing primary law are higher than all secondary mechanisms, including those contained in the current proposals of the EU institutions. From Poland's point of view, this is the basis and starting point for further EU negotiations, he explained."
"A miniszerelnök azt írta továbbá a jelenlegi költségvetési feltételrendszerről, hogy az „nincs jóváhagyva, és nem is lehet jóváhagyni"". ",8,4,136,Index,The Mini Minister also wrote about the current budgetary conditionality that it is 'not approved and cannot be approved'.
"A költségvetési csomag feltételrendszeréről szóló jelenlegi tervezet nem garantálja a jogbiztonságot, kritériumai általánosak, és nagyon széles értelmezést tesznek lehetővé",9,4,172,Index,"The current draft on the conditionality of the budget package does not guarantee legal certainty, its criteria are general and allow for a very wide interpretation"
– szögezte le a lengyel kormányfő.,10,4,34,Index,— the Polish Prime Minister stated.
"Hozzátette azt is, hogy a tagállami vétó jogát az EU-ban az összes tagállam „álláspontja és fenntartásai figyelembevételének biztosítékaként"" meg kell őrizni.",11,4,158,Index,He added that the right of veto of the Member States in the EU should be retained as a 'guarantee that all Member States' positions and reservations' are taken into account.
"Mateusz Morawiecki szóvivője, Piotr Müller pénteken a PAP hírügynökségnek megerősítette: a miniszterelnök az Európai Bizottság elnökének, Ursula von der Leyennek egy újabb, második levelet írt az uniós források jogállamisághoz kötése kapcsán. Amelyben azt hangsúlyozta: Lengyelország ellenzi azokat a mechanizmusokat, amelyek veszélyeztetnék az EU egységét a jövőben.",12,4,367,Index,Mateusz Morawiecki's spokesman Piotr Müller confirmed to the PAP news agency on Friday that the Prime Minister wrote another second letter to the President of the European Commission Ursula von der Leyen concerning the binding of EU funds to the rule of law. In which he stressed that Poland opposes mechanisms that would jeopardise EU unity in the future.
"
                          (Borítókép: Donáth Anna. Fotó: Koszticsák Szilárd / MTI)
",1,5,108,Index,"
(Bookcover: Donáth Anna. Photo: Koszticsák Szilárd/MTI)"
"Magyarország nem fog elfogadni olyan javaslatot, amely Lengyelország számára elfogadhatatlan – jelentette ki Orbán Viktor azon a sajtótájékoztatón, amelyet csütörtök délután tartott lengyel kollégája, Mateusz Morawiecki oldalán arról, hogy az Európai Unió a támogatások kifizetését a jogállamiság elveinek tiszteletben tartásához kötné. A magyar kormányfő felhívta a figyelmet, hogy a vétó nem valamiféle helytelen dolog, hanem az Európai Unió által szentesített törvényes eszköz, és ha egy döntés sérti a magyarok érdekeit, ő vétózni is fog.",1,6,542,Index,"Hungary will not accept a proposal which is unacceptable to Poland, Mr. Orbán stated at a press conference held on Thursday afternoon with his Polish colleague Mateusz Morawiecki, that the European Union should pay subsidies to the rule of law to respect its principles. The Hungarian Prime Minister pointed out that the veto is not some kind of inappropriate thing, but a legal instrument sanctioned by the European Union, and if a decision violates the interests of Hungarians, he will also veto."
"A sajtótájékoztató után kiadott közös nyilatkozatban az szerepel, hogy sem Magyarország, sem Lengyelország nem fogad el olyan javaslatot, amelyet a másik ország elfogadhatatlannak minősít.",2,6,188,Index,The joint statement issued after the press conference states that neither Hungary nor Poland will accept a proposal which the other country considers inadmissible.
"Orbán Viktor szerint egyébként a jogállamisági feltétel nem a jog uralmát (rule of law), hanem a többség uralmát (rule of majority) teremtené meg. Jelezte azt is, hogy számos vitában áll az Európai Unióval (ilyen a migráció és a gender kérdése), ő viszont nem teheti ki az országot annak a kockázatnak, hogy olyan álláspontot képvisel, amelyet a magyar emberek nem akarnak. A vétó hazafias kötelessége volt – fűzte hozzá, azzal, hogy ",3,6,434,Index,"According to Mr. Orbán, the rule of law condition would not create rule of law, but rule of majority rule. He also indicated that he has many debates with the European Union (such as migration and gender), but he cannot expose the country to the risk of taking a position that the Hungarian people do not want. It was the patriotic duty of the veto, he added, saying,"
"Szerinte a magyar álláspont világos, két dolgot, nem lehet összemosni: felelőtlen aki összeköti a politikai vitát a válságkezelés kérdésével, a jogállamisággal összefüggő szabályok megalkotása nem szükséges a válság kezeléséhez.",4,6,228,Index,"According to him, the Hungarian position is clear, two things cannot be confused: it is irresponsible who connects the political debate with the issue of crisis management, and the creation of rules related to the rule of law is not necessary to deal with the crisis."
"Mateusz Morawiecki lengyel miniszterelnök azt mondta, hogy új kihívás előtt állnak. A lengyel kormányfő arról beszélt, hogy a júliusi csúcs egész Európa sikerével zárult, de most egy teljesen új mechanizmus előtt áll az unió, és ezzel az önkényes mechanizmussal az egész EU is széteshet – mutatott rá. Ez a rendelet a költségvetésre vonatkozik, miközben egyéb eszközöket is behoz – tette hozzá.",5,6,394,Index,"Polish Prime Minister Mateusz Morawiecki said that they are facing a new challenge. The Polish Prime Minister said that the July summit ended with the success of the whole of Europe, but now the EU is facing a completely new mechanism, and with this arbitrary mechanism the whole EU could fall apart, he pointed out. This regulation applies to the budget, while also imitating other instruments, he added."
"Emlékeztetett arra is, hogy a német elnökség nem alkalmazkodott a júliusban megfogalmazott alkuhoz. Rávilágított: 27 ország különféle jogrenddel és hagyománnyal rendelkezik, és ezt értékelni kellene. A vétó joga benne van a szerződésekben, és ez azt szolgálja, hogy tudjunk foglalkozni a saját érdekeinkkel.",6,6,307,Index,"He also recalled that the German Presidency had not adapted to the bargain made in July. He highlighted that 27 countries have different legal orders and traditions, and this should be appreciated. The right of veto is in the treaties, and it serves to deal with our own interests."
"Mateusz Morawiecki arról is beszélt, hogy egy soha véget nem érő vita lehet a jogállamisági ügyekből, az ilyen feltételrendszer egy eszköz lehet arra, hogy támadjanak más országokat. Úgy fogalmazott: ez az út az unió szétveréséhez vezethet. ",7,6,241,Index,"Mateusz Morawiecki also said that a never-ending debate could be about the rule of law issues, such a set of conditionalities could be an instrument for attacking other countries. He said that this path could lead to the destruction of the Union."
"Morawiecki szerint képesek lesznek meggyőzni egyre több uniós országot az igazukról. A volt portugál külügyminisztert említette példaként, aki azt mondta, hogy Lengyelországnak és Magyarországnak lehet igaza. Kiemelte: az unió egységét és az országok szuverenitását is meg kell védeni, mert mint fogalmazott, az unió egy közösség. Hozzátette: Lengyelország és Magyarország az egész unió javára dolgozik. ",8,6,404,Index,"According to Morawiecki, they will be able to convince more and more EU countries that they are right. He referred to the former Portuguese Foreign Minister as an example, who said that Poland and Hungary could be right. He stressed that the unity of the Union and the sovereignty of the countries must also be protected, because, as he said, the union is a community. He added that Poland and Hungary are working for the benefit of the whole Union."
"Magyarországon az új fertőzöttek száma az utóbbi napokban három- és ötezer között volt, a fertőzésszám mérséklődik, vagy legalábbis konstans. A fertőzésszámra vonatkozó mai adatok azért jóval magasabbak, mert megkezdődött a tömeges tesztelés, így egész hivatásrendeket tesztelnek. A kormány a járványhelyzet értékelése miatt hetente ülésezik, tegnapi ülésén is áttekintette a járványhelyzetet és a gazdasági helyzetet, és arra a döntésre jutottak, hogy ",1,7,453,Index,"The number of new infected people in Hungary has been between three and five thousand in recent days, and the number of infections is decreasing, or at least constant. Today's data on infection numbers are much higher because mass testing has begun, so whole professional orders are being tested. The government meets on a weekly basis for the assessment of the epidemic situation, and at its meeting yesterday it reviewed the epidemiological situation and the economic situation, and it was decided that"
"az eddigi intézkedések elégségesek,",2,7,35,Index,"the measures taken to date are sufficient,"
tehát a jövő heti újabb kormányülésig nem lesz szigorítás – mondta Gulyás Gergely Miniszterelnökséget vezető miniszter a harmadik online megtartott Kormányinfón.,3,7,161,Index,so there will be no tightening until next week's next government meeting — Gulyás Gergely Minister of Prime Minister's Office said at the third online Government Info.
"A tömeges tesztelés eredményeit a jövő héten egységesen is nyilvánosságra fogják hozni – hangsúlyozta a miniszter. Az idősek vásárlási idősávjáról pedig azt mondta, az annyiban tér el a tavaszi normától, hogy bár ",4,7,213,Index,"The results of mass testing will be published uniformly next week, the minister stressed. And about the shopping time bar for the elderly, he said that it was a deviation from the spring norm in the sense that although"
"rendelkezésre áll egy védett vásárlási idősáv az időseknek, ők bármikor vásárolhatnak.",5,7,86,Index,"a protected shopping time bar is available for elderly people, they can shop at any time."
"Gulyás Gergely arról is beszámolt, hogy ma Budapesten tárgyal Mateusz Morawiecki lengyel kormányfő. A találkozó fő témája Magyarország és Lengyelország vétója arra az uniós javaslatra, amely a jogállamisági kritériumokhoz kötné az EU-támogatások kifizetését.",6,7,258,Index,Gergely Gulyás also reported that today Polish Prime Minister Mateusz Morawiecki is negotiating in Budapest. The main theme of the meeting is the veto of Hungary and Poland on the EU proposal to link the payment of EU funds to the rule of law criteria.
"A Miniszterelnökség vezetője egyértelművé tette, hogy a magyar kormány álláspontja változatlan ebben a kérdésben, és elutasítja, hogy politikai szempontoktól függjenek a tagállamoknak járó támogatások. Kiemelte: Magyarország négymilliárd eurós támogatást kap az Európai Uniótól, miközben a tagállamok vállalatai hatmilliárd eurót visznek ki az országból.",7,7,354,Index,"The Head of the Prime Minister's Office made it clear that the position of the Hungarian Government on this issue remains unchanged and refuses to make the subsidies due to the Member States dependent on political aspects. He stressed that Hungary receives four billion euros of support from the European Union, while the companies of the Member States carry six billion euros out of the country."
"Az uniós támogatások nem tekinthetők könyöradománynak, az együttműködést kölcsönös érdekek határozzák meg, mint ahogy kölcsönös érdekek alapján döntött úgy Magyarország, hogy csatlakozik az Európai Unióhoz – hangsúlyozta a miniszter. Gulyás Gergely emlékeztetett: Soros György cikke a minap egyértelművé tette, hogy a vita a bevándorlásról szól, márpedig ebben a kérdésben világos a magyar kormány álláspontja. Szerinte a magyar társadalom többsége erre adott felhatalmazást a kormánynak, és ragaszkodunk hozzá, hogy ",8,7,517,Index,"EU subsidies cannot be regarded as charity, cooperation is determined by mutual interests, as Hungary decided on the basis of mutual interests to join the European Union, the minister stressed. Gergely Gulyás reminded that György Soros's article made it clear the other day that the debate is about immigration, and the Hungarian government's position on this issue is clear. According to him, the majority of Hungarian society gave authorization to the government, and we insist that"
"szabadon dönthessünk arról, kivel szeretnénk együtt élni egy országban, és kivel nem.",9,7,85,Index,we are free to decide who we want to live with in a country and who we don't want to live with.
"Az iparűzési adóval kapcsolatban Gulyás Gergely annyit mondott, a Magyar Kereskedelmi és Iparkamarának volt egy „radikális javaslata”, de kormánydöntés ez idáig nem született. Bár a kormány mindenképpen gondolkodik adócsökkentésben, eddig még nem döntöttek.",10,7,257,Index,"Concerning the business tax, Gergely Gulyás said that the Hungarian Chamber of Commerce and Industry had a “radical proposal”, but so far no government decision has been taken. Although the government is definitely thinking about reducing taxes, it has not yet been decided."
A miniszter reflektált Joe Biden illegális bevándorlókra tett kijelentésére is. ,11,7,80,Index,The minister also reflected Joe Biden's statement on illegal immigrants.
"A miniszterelnök letiltott véleménycikke, amely nem jelent meg a Project Syndicate-ben, Gulyás szerint jól mutatja, hogy a nyugat-európai sajtóban csak egy vélemény jelenhet meg, egy miniszterelnök válaszcikkét pedig illik közölni.",12,7,231,Index,"According to Gulyás, the Prime Minister's banned opinion article, which was not published in Project Syndicate, clearly shows that only one opinion can appear in the Western European press, and a Prime Minister's response should be given."
"Gulyás Gergely szerint a 7. cikkelyes eljárás sokkal kínosabb az Európai Uniónak, mint Magyarországnak, mivel politikai szándékok mentén indították hazánk ellen. A miniszter szerint Magyarországon lényegesen erősebbek a jogállami intézmények, mint Nyugat-Európában. A jogállamisági kritériumokkal összefüggésben felvetett bírósági jogorvoslat a miniszter szerint a német elnökség jó irányú elmozdulása, azonban az elfogadott rendelettervezetnek nincsenek objektív, számonkérhető kritériumai, így az önmagában nagyon kevés.",13,7,522,Index,"According to Gergely Gulyás, the Article 7 procedure is much more embarrassing for the European Union than for Hungary, as it was launched with political intentions against Hungary. According to the minister, the rule of law institutions in Hungary are significantly stronger than in Western Europe. The judicial remedy raised in the context of the rule of law criteria is, according to the minister, a good move of the German Presidency, but the adopted draft regulation has no objective, accountable criteria, so there are very few in itself."
"A miniszter újságírói kérdésre elmondta, bár nagyon sokan érdeklődnek arról, az ünnepek alatt milyen intézkedések várhatóak, az, hogy mi lesz december végén, a jelenlegi járványhelyzetben nem látható előre november végén.",14,7,221,Index,"The minister said on a journalistic question, although many people are interested in what measures can be expected during the holidays, what will happen at the end of December, in the current epidemic situation, is not foreseen at the end of November."
"Gulyás az iskolabezárásokról annyit mondott, folyamatos a mérlegelés, jelenleg azonban az iskolák mintegy négyötöde zavartalanul működik.",15,7,137,Index,"Goulash said about the school locks, but at present about four fifths of schools are working smoothly."
"Arra a kérdésre, hogy az országos célzott tesztelések körét szélesítik-e, azt válaszolta a miniszter, hogy a jelenlegi célzott tesztelés péntekig megtörténik, ennek eredményétől függ, hogy szükséges-e további hasonló, országos teszteléseket elvégezni.",16,7,251,Index,"On the question of whether the scope of national targeted testing is broadened, the minister replied that the current targeted testing will take place by Friday, and the need for further similar national tests depends on the result."
"Gulyás Gergely arra az újságírói kérdésre, hogy miért Pintér Sándor felügyelete alá került a kórházi főigazgatóság, azt mondta, a belügyminiszter az operatív törzs vezetőjeként segíti a hatékony védekezést egy olyan időszakban, amikor 100 éve nem látott vírusfertőzéssel állunk szemben.",17,7,286,Index,"Gulyás Gergely, asked the journalistic question of why the hospital Directorate General was under the supervision of Sándor Pintér, said that the Minister of Interior, as head of the operational tribe, is helping to protect effectively at a time when we are facing a viral infection that has not been seen for 100 years."
"A Kormányinfóhoz eljuttatott kérdések között az is szerepelt, sokan kifogásolják az idősek vásárlási sávját, az egyik felvetés szerint a nyugdíjasok érdekeit képviselő szervezetek között is akad ilyen. A miniszter szerint az elhunytak átlagéletkora 75 év felett van, és ebből is egyértelműen látszik, hogy  ez a vírus igazán az idősekre veszélyes. Gulyás kiemelte, mindenkinek az a feladata, hogy a veszélyeztetett korúakat védje, és elismeri, hogy ez okozhat nehézséget, de éppen ezt mérlegelve hozták előrébb a hétvégi idősávot, ami 8 és 10 óra közé esik.",18,7,557,Index,"Among the questions sent to the Government Info was the fact that many people object to the shopping band for the elderly, one of the suggestions is that there are organisations representing the interests of pensioners as well. According to the minister, the average age of the deceased is over 75, and this clearly shows that this virus is really dangerous for the elderly. Goulash highlighted that it is everyone's duty to protect people of risk age, and he acknowledges that this could cause difficulties, but considering this, they brought forward the weekend time band, which is between 8 and 10 o'clock."
"
                          A miniszter arról is beszélt, hogy egyelőre nem született döntés arról, hogy a digitális oktatásban tanulókat mentesítik-e a nyelvvizsga-kötelezettség alól. A tavaszi döntésnek gazdasági okai voltak, a cél az volt, hogy mindenki minél hamarabb munkába állhasson a gazdasági visszaesés miatt. Az ITM viszont most még nem tett erre javaslatot, így a kormány sem döntött róla.
",19,7,425,Index,"
The minister also said that it has not yet been decided whether students in digital education should be exempted from the language examination obligation. The spring decision had economic reasons, and the goal was to get everyone to work as soon as possible due to the economic downturn. However, ITM has not yet proposed this, so the government has not decided on it."
"
                          A táppénz is szóba került egy újságírói kérdésre, ugyanis sok szülőnek elfogyott a szabadsága, mégis kénytelenek otthon maradni a gyermekükkel a járvány idején. Gulyás Gergely elmondta: a kormány dolgozik az ügyön, ugyanis indokolt lehet, hogy tovább támogassák a családokat a járvány idején.
",20,7,344,Index,"
Sickness money was also addressed to a journalistic question, as many parents ran out of leave, yet they are forced to stay at home with their children during the epidemic. Gulyás Gergely said that the government is working on the case, as it may be justified to further support the families during the epidemic."
