article_text,paragraphs,article,n_characters,news_site
"A koronavírus-járvány gazdasági hatásainak enyhítésére létrehozott uniós helyreállítási alapból (Next Generation EU – NGEU) mi nemcsak hitelt vehetünk fel, hanem támogatást is.",3,3,176,Index
"A 2018-as áron számítva 750 milliárd eurót összesítő NGEU-nak két zsebe van, a 390 milliárdos keretből kaphatnak vissza nem térítendő támogatást a tagországok, a 360 milliárdosból pedig kölcsönt vehetnek fel.",4,3,208,Index
"(Mai árfolyamon számítva ezek a tételek jóval magasabbak, mert az unió ezeket az összegeket a kifizetéskor fel fogja szorozni a feltételezett 2 százalékos inflációval).",5,3,168,Index
"A Brüsszelben működő Bruegel Intézet magyar munkatársa, Darvas Zsolt alapos angol nyelvű elemzést készített a helyreállítási alap felhasználásáról, s ebben megtalálhatjuk, hogy évente mekkora vissza nem térítendő támogatást kaphatunk, ha végre lemondunk a vétóról, s mekkora mértékű hitelt vehetünk fel, ha akarunk. Darvas Zsolt segítségével, aki a Corvinus Közgazdaságtani Intézetében is dolgozik, megnéztük, mennyire érné meg nekünk az NGEU-s támogatás vagy az NGEU-hitel felvétele.",6,3,484,Index
"A 750 milliárdos, hét csomagból álló NGEU előteremtéséhez az uniónak kötvényeket kell kibocsátania, s hitelt kell felvennie a piacról. A 390 milliárdos tételt a tagországok támogatásként kapják – Darvas Zsolt számításai szerint mai áron a mi vissza nem térítendő, lehívható támogatásunk 8,24 milliárd eurót tesz ki. Ugyanakkor a támogatások forrásául szolgául EU-s hitelt később közösen fizetik vissza a tagállamok 2027 és 2058 között.",7,3,435,Index
"De akkor miért is érné meg pusztán gazdasági szempontból Magyarországnak a részvétel? Azért, mert a támogatások elosztásában fajsúlyos szerepet kap az egy főre jutó jövedelem, és mivel ez nálunk jóval az uniós átlag alatt van, így a gazdaság méretéhez képest sok uniós forrás kapnánk az NGEU-ból. Ugyanakkor Magyarországnak később olyan arányban kell hozzájárulnia a visszafizetéshez, amilyen arányban az EU bruttó nemzeti össztermékéből (GNI) részesedik. Mivel ez az arány Magyarország esetében rendkívül alacsony, így várhatóan sokkal kevesebbet kell majd visszafizetnie, mint amennyit most kapna.",8,3,599,Index
"Még tisztábban: ha nincs magyar–lengyel vétó, és végre elfogadják az unió hétéves költségvetését a helyreállítási alappal együtt, akkor Magyarország sokkal nagyobb arányban részesül az NGEU támogatási keretéből, mint amilyen arányban hozzá kell majd járulnia ugyanezen adósság visszafizetéséhez.",9,3,295,Index
"Itt tehát nem érvényesülhet Orbán Viktor azon logikája, hogy ezzel adósságba verjük magunkat, és a 390 milliárdos keret ránk eső részének visszafizetésekor mi rosszul járhatunk.",10,3,177,Index
"Hogy mennyivel lenne drágább, ha uniós hitel helyett a piacról finanszíroznánk magunkat? Ez ügyben tiszta vizet önt a pohárba, hogy az Államadósság Kezelő Központ 10 és 30 éves futamidejű, euróalapú kötvényt bocsátott ki november közepén:",11,3,238,Index
"Az unió által kínált hitel főnyeremény ehhez képest, hiszen az például a 30 éves futamidőn 1,5 százalékponttal alacsonyabb kamatot jelentene.",12,3,141,Index
"Itt tehát sántít Orbán Viktor múlt heti reakciója, miszerint Magyarország saját erejéből, uniós segítség nélkül is megoldja a következő évek finanszírozását. Bár valószínűleg tudnánk a nemzetközi piacról hitelt felvenni, így ebből a szempontból át tudnánk vészelni a helyzetet uniós hitel nélkül is, csak éppen sokkal magasabb kamatkiadások mellett.",13,3,349,Index
"Ha Orbán Viktor meggondolná magát vétóügyben, akkor ebből a 360 milliárdos NGEU-hitelkeretből Magyarország maximum 8,91 milliárd eurót tudna felvenni nulla százalék körüli kamattal. (A Bruegel Intézet munkatársa egyrészt itt az alapján számolt, hogy 2018-as áron a tagországok maximum a bruttó hazai össztermékük 6,8 százalékáig vehetnek fel hitelt, illetve hogy minden bizonnyal az a 17 ország venné fel kölcsönt, amely korábban a SURE elnevezésű alapból is felvett, vagyis tényleg rászorul.)",14,3,493,Index
"Mindezek fényében Orbán Viktornak lehetnek gazdaságpolitikailag értelmezhető érvei arra, hogy miért ne ejtse a jogállamisági mechanizmus miatt bejelentett vétót, ám ezeket egyelőre nem ismerjük.",15,3,194,Index
"
                          (Borítókép: Orbán Vikor. Fotó: Miniszterelnöki Sajtóiroda / Benko Vivien Cher)
                        ",16,3,130,Index
Lengyelország továbbra is  kész megvétózni az uniós költségvetést – mondta Mateusz Morawiecki lengyel miniszterelnök Angela Merkel német kancellárral tartott online megbeszélésén az MTI szerint. ,1,4,195,Index
"A miniszterelnök Facebookon közzétett beszámolójában aláhúzta: az a közös siker, amellyel a júliusi uniós állam- és kormányfői csúcstalálkozó költségvetési tárgyalásai végződtek,",2,4,178,Index
"„megfelelő, az összes EU-tagállam által megerősítendő"" jogi előírásokban kell, hogy testet öltsön.",3,4,98,Index
"A lengyel kormányfő ugyanakkor azt is jelezte, hogy országa továbbra is kész megvétózni az EU költségvetését, amennyiben ",4,4,121,Index
"Kiemelte továbbá, hogy Lengyelország várja a költségvetésről szóló európai uniós tárgyalások folytatását, és gyors eredményre számít, valamint arra, hogy",5,4,153,Index
garantálni fogják a tagállami jogokat és tiszteletben tartják az uniós alapszerződésekben foglalt eljárásokat.,6,4,110,Index
"Hozzátette: Az elsődleges jogot rögzítő alapszerződések magasabb rendűek minden másodlagos mechanizmusnál, így azoknál is, amelyeket az uniós intézmények jelenlegi javaslatai tartalmaznak.  Lengyelország szempontjából ez képezi a további uniós tárgyalások alapját és kiindulópontját – fejtette ki. ",7,4,298,Index
"A miniszerelnök azt írta továbbá a jelenlegi költségvetési feltételrendszerről, hogy az „nincs jóváhagyva, és nem is lehet jóváhagyni"". ",8,4,136,Index
"A költségvetési csomag feltételrendszeréről szóló jelenlegi tervezet nem garantálja a jogbiztonságot, kritériumai általánosak, és nagyon széles értelmezést tesznek lehetővé",9,4,172,Index
– szögezte le a lengyel kormányfő.,10,4,34,Index
"Hozzátette azt is, hogy a tagállami vétó jogát az EU-ban az összes tagállam „álláspontja és fenntartásai figyelembevételének biztosítékaként"" meg kell őrizni.",11,4,158,Index
"Mateusz Morawiecki szóvivője, Piotr Müller pénteken a PAP hírügynökségnek megerősítette: a miniszterelnök az Európai Bizottság elnökének, Ursula von der Leyennek egy újabb, második levelet írt az uniós források jogállamisághoz kötése kapcsán. Amelyben azt hangsúlyozta: Lengyelország ellenzi azokat a mechanizmusokat, amelyek veszélyeztetnék az EU egységét a jövőben.",12,4,367,Index
"
                          (Borítókép: Donáth Anna. Fotó: Koszticsák Szilárd / MTI)
                        ",1,5,108,Index
"Magyarország nem fog elfogadni olyan javaslatot, amely Lengyelország számára elfogadhatatlan – jelentette ki Orbán Viktor azon a sajtótájékoztatón, amelyet csütörtök délután tartott lengyel kollégája, Mateusz Morawiecki oldalán arról, hogy az Európai Unió a támogatások kifizetését a jogállamiság elveinek tiszteletben tartásához kötné. A magyar kormányfő felhívta a figyelmet, hogy a vétó nem valamiféle helytelen dolog, hanem az Európai Unió által szentesített törvényes eszköz, és ha egy döntés sérti a magyarok érdekeit, ő vétózni is fog.",1,6,542,Index
"A sajtótájékoztató után kiadott közös nyilatkozatban az szerepel, hogy sem Magyarország, sem Lengyelország nem fogad el olyan javaslatot, amelyet a másik ország elfogadhatatlannak minősít.",2,6,188,Index
"Orbán Viktor szerint egyébként a jogállamisági feltétel nem a jog uralmát (rule of law), hanem a többség uralmát (rule of majority) teremtené meg. Jelezte azt is, hogy számos vitában áll az Európai Unióval (ilyen a migráció és a gender kérdése), ő viszont nem teheti ki az országot annak a kockázatnak, hogy olyan álláspontot képvisel, amelyet a magyar emberek nem akarnak. A vétó hazafias kötelessége volt – fűzte hozzá, azzal, hogy ",3,6,434,Index
"Szerinte a magyar álláspont világos, két dolgot, nem lehet összemosni: felelőtlen aki összeköti a politikai vitát a válságkezelés kérdésével, a jogállamisággal összefüggő szabályok megalkotása nem szükséges a válság kezeléséhez.",4,6,228,Index
"Mateusz Morawiecki lengyel miniszterelnök azt mondta, hogy új kihívás előtt állnak. A lengyel kormányfő arról beszélt, hogy a júliusi csúcs egész Európa sikerével zárult, de most egy teljesen új mechanizmus előtt áll az unió, és ezzel az önkényes mechanizmussal az egész EU is széteshet – mutatott rá. Ez a rendelet a költségvetésre vonatkozik, miközben egyéb eszközöket is behoz – tette hozzá.",5,6,394,Index
"Emlékeztetett arra is, hogy a német elnökség nem alkalmazkodott a júliusban megfogalmazott alkuhoz. Rávilágított: 27 ország különféle jogrenddel és hagyománnyal rendelkezik, és ezt értékelni kellene. A vétó joga benne van a szerződésekben, és ez azt szolgálja, hogy tudjunk foglalkozni a saját érdekeinkkel.",6,6,307,Index
"Mateusz Morawiecki arról is beszélt, hogy egy soha véget nem érő vita lehet a jogállamisági ügyekből, az ilyen feltételrendszer egy eszköz lehet arra, hogy támadjanak más országokat. Úgy fogalmazott: ez az út az unió szétveréséhez vezethet. ",7,6,241,Index
"Morawiecki szerint képesek lesznek meggyőzni egyre több uniós országot az igazukról. A volt portugál külügyminisztert említette példaként, aki azt mondta, hogy Lengyelországnak és Magyarországnak lehet igaza. Kiemelte: az unió egységét és az országok szuverenitását is meg kell védeni, mert mint fogalmazott, az unió egy közösség. Hozzátette: Lengyelország és Magyarország az egész unió javára dolgozik. ",8,6,404,Index
"Magyarországon az új fertőzöttek száma az utóbbi napokban három- és ötezer között volt, a fertőzésszám mérséklődik, vagy legalábbis konstans. A fertőzésszámra vonatkozó mai adatok azért jóval magasabbak, mert megkezdődött a tömeges tesztelés, így egész hivatásrendeket tesztelnek. A kormány a járványhelyzet értékelése miatt hetente ülésezik, tegnapi ülésén is áttekintette a járványhelyzetet és a gazdasági helyzetet, és arra a döntésre jutottak, hogy ",1,7,453,Index
"az eddigi intézkedések elégségesek,",2,7,35,Index
tehát a jövő heti újabb kormányülésig nem lesz szigorítás – mondta Gulyás Gergely Miniszterelnökséget vezető miniszter a harmadik online megtartott Kormányinfón.,3,7,161,Index
"A tömeges tesztelés eredményeit a jövő héten egységesen is nyilvánosságra fogják hozni – hangsúlyozta a miniszter. Az idősek vásárlási idősávjáról pedig azt mondta, az annyiban tér el a tavaszi normától, hogy bár ",4,7,213,Index
"rendelkezésre áll egy védett vásárlási idősáv az időseknek, ők bármikor vásárolhatnak.",5,7,86,Index
"Gulyás Gergely arról is beszámolt, hogy ma Budapesten tárgyal Mateusz Morawiecki lengyel kormányfő. A találkozó fő témája Magyarország és Lengyelország vétója arra az uniós javaslatra, amely a jogállamisági kritériumokhoz kötné az EU-támogatások kifizetését.",6,7,258,Index
"A Miniszterelnökség vezetője egyértelművé tette, hogy a magyar kormány álláspontja változatlan ebben a kérdésben, és elutasítja, hogy politikai szempontoktól függjenek a tagállamoknak járó támogatások. Kiemelte: Magyarország négymilliárd eurós támogatást kap az Európai Uniótól, miközben a tagállamok vállalatai hatmilliárd eurót visznek ki az országból.",7,7,354,Index
"Az uniós támogatások nem tekinthetők könyöradománynak, az együttműködést kölcsönös érdekek határozzák meg, mint ahogy kölcsönös érdekek alapján döntött úgy Magyarország, hogy csatlakozik az Európai Unióhoz – hangsúlyozta a miniszter. Gulyás Gergely emlékeztetett: Soros György cikke a minap egyértelművé tette, hogy a vita a bevándorlásról szól, márpedig ebben a kérdésben világos a magyar kormány álláspontja. Szerinte a magyar társadalom többsége erre adott felhatalmazást a kormánynak, és ragaszkodunk hozzá, hogy ",8,7,517,Index
"szabadon dönthessünk arról, kivel szeretnénk együtt élni egy országban, és kivel nem.",9,7,85,Index
"Az iparűzési adóval kapcsolatban Gulyás Gergely annyit mondott, a Magyar Kereskedelmi és Iparkamarának volt egy „radikális javaslata”, de kormánydöntés ez idáig nem született. Bár a kormány mindenképpen gondolkodik adócsökkentésben, eddig még nem döntöttek.",10,7,257,Index
A miniszter reflektált Joe Biden illegális bevándorlókra tett kijelentésére is. ,11,7,80,Index
"A miniszterelnök letiltott véleménycikke, amely nem jelent meg a Project Syndicate-ben, Gulyás szerint jól mutatja, hogy a nyugat-európai sajtóban csak egy vélemény jelenhet meg, egy miniszterelnök válaszcikkét pedig illik közölni.",12,7,231,Index
"Gulyás Gergely szerint a 7. cikkelyes eljárás sokkal kínosabb az Európai Uniónak, mint Magyarországnak, mivel politikai szándékok mentén indították hazánk ellen. A miniszter szerint Magyarországon lényegesen erősebbek a jogállami intézmények, mint Nyugat-Európában. A jogállamisági kritériumokkal összefüggésben felvetett bírósági jogorvoslat a miniszter szerint a német elnökség jó irányú elmozdulása, azonban az elfogadott rendelettervezetnek nincsenek objektív, számonkérhető kritériumai, így az önmagában nagyon kevés.",13,7,522,Index
"A miniszter újságírói kérdésre elmondta, bár nagyon sokan érdeklődnek arról, az ünnepek alatt milyen intézkedések várhatóak, az, hogy mi lesz december végén, a jelenlegi járványhelyzetben nem látható előre november végén.",14,7,221,Index
"Gulyás az iskolabezárásokról annyit mondott, folyamatos a mérlegelés, jelenleg azonban az iskolák mintegy négyötöde zavartalanul működik.",15,7,137,Index
"Arra a kérdésre, hogy az országos célzott tesztelések körét szélesítik-e, azt válaszolta a miniszter, hogy a jelenlegi célzott tesztelés péntekig megtörténik, ennek eredményétől függ, hogy szükséges-e további hasonló, országos teszteléseket elvégezni.",16,7,251,Index
"Gulyás Gergely arra az újságírói kérdésre, hogy miért Pintér Sándor felügyelete alá került a kórházi főigazgatóság, azt mondta, a belügyminiszter az operatív törzs vezetőjeként segíti a hatékony védekezést egy olyan időszakban, amikor 100 éve nem látott vírusfertőzéssel állunk szemben.",17,7,286,Index
"A Kormányinfóhoz eljuttatott kérdések között az is szerepelt, sokan kifogásolják az idősek vásárlási sávját, az egyik felvetés szerint a nyugdíjasok érdekeit képviselő szervezetek között is akad ilyen. A miniszter szerint az elhunytak átlagéletkora 75 év felett van, és ebből is egyértelműen látszik, hogy  ez a vírus igazán az idősekre veszélyes. Gulyás kiemelte, mindenkinek az a feladata, hogy a veszélyeztetett korúakat védje, és elismeri, hogy ez okozhat nehézséget, de éppen ezt mérlegelve hozták előrébb a hétvégi idősávot, ami 8 és 10 óra közé esik.",18,7,557,Index
"
                          A miniszter arról is beszélt, hogy egyelőre nem született döntés arról, hogy a digitális oktatásban tanulókat mentesítik-e a nyelvvizsga-kötelezettség alól. A tavaszi döntésnek gazdasági okai voltak, a cél az volt, hogy mindenki minél hamarabb munkába állhasson a gazdasági visszaesés miatt. Az ITM viszont most még nem tett erre javaslatot, így a kormány sem döntött róla.
                        ",19,7,425,Index
"
                          A táppénz is szóba került egy újságírói kérdésre, ugyanis sok szülőnek elfogyott a szabadsága, mégis kénytelenek otthon maradni a gyermekükkel a járvány idején. Gulyás Gergely elmondta: a kormány dolgozik az ügyön, ugyanis indokolt lehet, hogy tovább támogassák a családokat a járvány idején.
                        ",20,7,344,Index
"
                          (Borítókép: Gulyás Gergely Miniszterelnökséget vezető miniszter és Szentkirályi Alexandra kormányszóvivő (b) a Kormányinfó sajtótájékoztatón a Miniszterelnökségen 2020. augusztus 6-án. MTI / Szigetváry Zsolt)
                        ",21,7,260,Index
"A mai budapesti találkozóról Lengyelország brüsszeli EU-képviselete adott először tájékoztatást tegnap este nyolc órakor. Ebben azt írták, a budapesti tárgyalás napirendjén várhatóan a többéves pénzügyi keret (MFF) szerepel, mivel Lengyelország és Magyarország koordinálni kívánja az EU-költségvetésről szóló tárgyalási pozícióit.",1,8,330,Index
"Jelentős mértékben meghatározza a tárgyalás várható napirendjét, hogy Mateusz Morawiecki lengyel kormányfő szerdán elutasította  Ursula von der Leyennek, az Európai Bizottság (EB) elnökének szerdai javaslatát arról, hogy az uniós költségvetési feltételrendszerről szóló lengyel és magyar kételyeket az Európai Unió Bírósága elé vigyék – jelentette az MTI. ",2,8,356,Index
Ebben a szellemben nyilatkozott Orbán Viktor is a Die Zeit által szerdán közölt interjúban. ,3,8,92,Index
"Morawiecki hangsúlyozta, hogy",4,8,29,Index
"Némileg gyengíti, a lengyel miniszterelnök pozícióját, hogy az ellenzéki többségű lengyel szenátus szerda este megszavazott egy határozatot, melyben arra szólítják fel a kormányt: fogadja el az uniós költségvetési megállapodást a jelenleg javasolt formájában. A dokumentum szerint a lengyel vétó sérti az ország gazdasági, politikai és stratégiai érdekeit. A vétó miatt tüntetések voltak Varsóban.",5,8,397,Index
"A fentiekből úgy tűnhet feloldhatatlan a konfliktus az EU és a két tagország között, azonban a két miniszterelnök már előzetesen egyértelművé tette az általuk felajánlott kompromisszumot.",6,8,187,Index
"
                          Már a lengyel képviselet Twitter híre is a segélycsomag elfogadásának megtárgyalásáról szólt, ebbe az érvelésbe illeszkedik az is, amit Orbán Viktor tegnap megjelent interjújában erről mondott:
                        ",7,8,245,Index
"A fentiek alapján a magyar–lengyel tandem a mai megbeszélés után azzal a kompromisszumos javaslattal áll elő, amelyben az MFF nevű mentőcsomagot támogatják, azzal a feltétellel, hogy a jogállamiságról szóló szabályok és a költségvetés megvitatását későbbre halasztják.",8,8,268,Index
"Az Európai Unióban hétévente kiéleződnek az elosztási konfliktusok az új hosszú távú költségvetés vitája során. Napirendre kerül a büdzsé mérete, amit a befizető tagállamok szigorúan az összesített nemzeti jövedelem 1 százalékának szintjén tartanak. Élesen elkülönülnek egymástól a nettó befizető és a nettó kedvezményezett tagországok, de egyéb – főleg ágazati és regionális – érdekcsoportok is ütköznek egymással. ",1,9,416,Index
"A 2021–27 évekre szóló pénzügyi keret vitáinak végjátéka az idén tetőzik, erősen megkésve, hiszen az új költségvetésnek január 1-jén már működnie kellene. A fő ok két illetékes intézmény, az Európai Parlament és az Európai Bizottság 2019-es újjáválasztása, ezek csak a múlt év végére tudtak ténylegesen munkához látni. Ugyanakkor a Covid–19-járvány hatására az EU több költségvetési tabut ledöntött. A pénzek ágazatok közötti elosztása körül kemény konfliktusok szoktak kialakulni, most azonban rugalmasan hozzátoldottak a költségvetéshez egy hatalmas „helyreállítási csomagot” a gazdasági veszteségek orvoslására. Ezzel a merev főösszeget is megemelték mintegy 70 százalékkal, igaz, külön boríték formájában.",2,9,709,Index
"Új forrásként hozzájárultak külső hitel felvételéhez, ez is forradalmi változás az unió történetében.",3,9,101,Index
"A tagállamok már nemcsak vissza nem térítendő támogatást kapnak, hanem a belső elosztásba beépül a törlesztendő kölcsön.",4,9,120,Index
"Újdonság az is, hogy a költségvetési tervezés kezdete óta szó volt olyan követelményekről, amelyek az uniós támogatások rendeltetésszerű felhasználását garantálják. ",5,9,165,Index
"A nettó befizető országok részéről ugyanis elfogyott a türelem, nem akarták tovább tétlenül nézni, amint egyes újabb tagállamokban a felzárkóztatásukra szánt támogatás gyanús körülmények között folyik szét.",6,9,206,Index
"Az Európai Bizottság 2018 tavaszán kidolgozott első tervezetében az uniós alapok „átlátható és nyomon követhető felhasználása” volt a fő feltétel. Ezt azonban a költségvetés nettó befizetői közül többen kifogásolták. Olyan kritériumokat szorgalmaztak, amelyek az állam jó működésén keresztül biztosítják a visszaélések megelőzését, illetve ha ilyenek mégis megtörténnek, akkor a hatékony ügyészségi és bírósági eljárást, mindezt a sajtó és a társadalom nyilvánossága előtt. ",7,9,474,Index
"Minden idők leghosszabb európai csúcsértekezletén, 2020. július 17–21. között a kormányfők hosszasan vitáztak ezekről a témákról. Az alapvető normák és értékek egyébként az EU-szerződés 2. cikkéből származnak, de konkrét számonkérésüket egyes újabb tagállamok – élükön a magyar–lengyel párossal – vadul ellenezték. Végül a záródokumentumban (A.24 pont) két kulcsmondat került egymás mellé: az első „az unió pénzügyi érdekeinek védelméről”, a második „a jogállam tiszteletben tartásáról” szól, a szöveg mindkettőt „fontosnak” minősíti. Tipikus brüsszeli kompromisszum, mindenki azt hihette, hogy győzött. ",8,9,604,Index
"Már ekkor látszott azonban, hogy a „jog uralma” (rule of law, amit magyarra jogállamiságnak szoktak fordítani a német Rechtsstaatlichkeit nyomán) a költségvetésben is szerepet kap mint feltétel. Az ellene tiltakozó kormányok még abban reménykedhettek, hogy a kritériumokat valamilyen gyönge megfogalmazásba és véget nem érő eljárásba ágyazva el lehet majd kenni, mint eddig. Időközben azonban beindult az EU új jogállamisági mechanizmusa, amely egységes szempontok szerint az összes tagországra vonatkozik, így nem lehet többé „kettős mércére” fogni a kritikát. Szeptemberre elkészült az első jelentés, amely minden tagállamot értékel, Magyarország esetében rámutat a bíróságok és az ügyészség működésének hiányosságaira, a média koncentrált kormányzati kezelésére, a civil szervezetek helyzetére. ",9,9,798,Index
"A tét is óriási, mivel a két keret egybekapcsolása révén soha nem látott összeg (1824,3 milliárd euró) fekszik az asztalon.",10,9,123,Index
"A német kompromisszum valószínűleg átment volna a tagállamok sokféle szűrőjén, de nem elégítette ki az Európai Parlamentet. A túlnyomó többséget adó négy nagy pártcsalád – a néppárti, a szocialista, a zöld és a liberális – először közös levélben foglalt állást, azután tárgyalást kezdeményezett a tagállamokat képviselő Tanáccsal. Háromhetes vita után, november elején megállapodtak a jogállami feltételekben, külön kiemelve az igazságszolgáltatás függetlenségét. Jóváhagytak továbbá egy gyorsan lefutó, gyakorlatias eljárást, eszerint a tagállamok Tanácsa az Európai Bizottság javaslatára már jogsértések veszélye esetén minősített többséggel dönthetne az uniós pénzek folyósításának felfüggesztéséről. ",11,9,704,Index
"A magyar és a lengyel kormány ezután bejelentette, hogy megvétózza az Európai Unió hétéves költségvetését és a hozzá kapcsolódó helyreállítási csomagot, ha ezek jogállami feltételeket tartalmaznak. A november 16-i héten valóságos európai vétódráma bontakozott ki. Hétfőn az EU-nagykövetek ülésén próbaszavazást tartottak, a magyar és a lengyel képviselő itt megerősítette a vétózási szándékot. Kedden az Általános Ügyek Tanácsa ülésezett, amelyen rendhagyó módon ismét a magyar igazságügyi miniszter jelent meg (holott neki a Bel- és Igazságügyi Tanácsban a helye), és hasonlóképpen foglalt állást. Csütörtökön videókonferencia formájában összeült az EU legmagasabb szintű grémiuma, a kormányfőkből álló Európai Tanács. Itt is elhangzott a két kormány vétózási szándéka. Ezután az ügy gyorsan lekerült a napirendről, mivel az álláspontok megmerevedtek. ",12,9,853,Index
"A beígért vétóra valójában eddig még nem került sor, mert a szavazás a december 10–11-i fél évet záró kormányfői csúcson esedékes.",13,9,130,Index
"Két hét maradt a megegyezésre. A magyar és a lengyel kormány egyelőre folytatná az alkut, abban bízva, hogy javíthat a pozícióján. A politikai húrok feszítésének azonban van egy optimális pontja, ameddig még eredménnyel járhat, azon túl elpattan, és hasonló méretű veszteség keletkezhet, mint amekkora a remélt nyereség lett volna.",14,9,331,Index
"A feltételek ellenzőinek visszatérő érve, hogy a „jogállamot” nem lehet meghatározni, az EU-szerződés is csupán fontos elemeit sorolja fel, így a kiinduló tényállás bizonytalan. Nincs vita abban, hogy például a jogbiztonság, a média függetlensége, a korrupció üldözése bele tartozik, de az is igaz, hogy pontos definíciót nehéz lenne adni, mert rendkívül összetett jelenségről van szó. A jogállamiság meglétének vagy hiányának megállapítását ezért az EU a tagállamok kollektív bölcsességére bízná: ha többségük (legalább 15 tagország, amelyek az összlakosság 65 százalékát képviselik) úgy találja, hogy a közösen vállalt normákat valahol veszély fenyegeti, akkor megszavazhatja a pénzügyi szankciókat. A többségi döntés kiküszöböli az elfogultságot és az egyoldalú ítéleteket. ",15,9,777,Index
"A kemény és sarkosan pozicionált álláspontok között az Európai Tanács elnökének, Charles Michelnek és az Angela Merkel vezette német elnökségnek kellene járható ösvényt találnia. ",16,9,179,Index
"Az EU túlnyomó többsége már olyan megoldásokat is keres, amelyek megkerülnék vagy kihagynák a magyar–lengyel párost, ha nem hajlandók a többiekhez közeledni. Erre megvan a jogalap az ún. megerősített együttműködés formájában, és precedensek is léteznek.",17,9,253,Index
"A gyorsabban haladók nem képeznek zárt csapatot, hanem azonos feltételekkel bárki bármikor felzárkózhat hozzájuk. Ilyen megoldás a helyreállítási csomagra vonatkozóan könnyen elképzelhető. A költségvetés keményebb dió, mert ahhoz egyhangúság kell, de itt is léteznek átmeneti megoldások. ",18,9,288,Index
"A magyar kormány figyelembe vehetné, hogy a helyzet most kockázatosabb, mint Orbán Viktor eddigi uniós játszmái során, amikor egyetlen tagországként kötözködött az EU intézményeivel és viszont. Nem bizottsági tisztviselőkkel vagy EP-képviselőkkel ütközik, hanem közvetlenül a tagállamokkal. Nem írott szabályokkal vagy beleértett normákkal vitatkozik, hanem – a szó legszorosabb értelmében – életbevágó érdekekkel kerül szembe. A külvilág pedig átlát rajta, tengernyi elemzés állítja: nemcsak a nemzetközi szereplési vágy vezérli, hanem a hazai hatalmát félti a következő választástól. Kopott jelszavai az országot valójában elkerülő migránsokról vagy az aggastyán Soros világ-összeesküvéséről külföldön senkit nem hatnak meg. A lengyel álláspont valamivel visszafogottabb, de az indítékok hasonlók. ",19,9,800,Index
"Az EU-ban a járvány nyomása alatt viszonylag rugalmasan kezelték az elosztási érdekütközéseket. Ezzel szemben most súlyos politikai konfliktus alakult ki, amelynek tétje egyrészt az európai normák érvényesítése minden tagállamban és azonos mérce szerint, másrészt a várva várt uniós források megnyitása 2021 januárjában, a Covid–19-járvány második hullámának nyomása alatt. A túlnyomó többséggel szembeszegülő magyar és lengyel kormányt senki nem támogatja. Így a kettős hasznot – az uniós pénzeket és a politikai feltétel nélküliséget – egyszerre nem nyerhetik meg, választani kell. Ebben az összefüggésben kerül mérlegre, hogy ki és miért akar a vétó fegyveréhez nyúlni.",20,9,672,Index
