article_text,paragraphs,article,n_characters,news_site,article_text_eng,Sentiment,Mixed,Negative,Neutral,Positive
"A koronavírus-járvány gazdasági hatásainak enyhítésére létrehozott uniós helyreállítási alapból (Next Generation EU – NGEU) mi nemcsak hitelt vehetünk fel, hanem támogatást is.",3,3,176,Index,"From the EU Recovery Fund (Next Generation EU (NGEU) to alleviate the economic effects of the coronavirus epidemic, we can not only borrow loans, but also support.",MIXED,0.3376862108707428,0.31525126099586487,0.18497440218925476,0.16208812594413757
"A 2018-as áron számítva 750 milliárd eurót összesítő NGEU-nak két zsebe van, a 390 milliárdos keretből kaphatnak vissza nem térítendő támogatást a tagországok, a 360 milliárdosból pedig kölcsönt vehetnek fel.",4,3,208,Index,"The NGEU, which amounted to €750 billion in 2018, has two pockets, the €390 billion will provide grants to Member States, and the 360 billion will be able to borrow.",NEUTRAL,5.008667358197272e-6,1.8514228577259928e-4,0.9954710006713867,0.00433887355029583
"(Mai árfolyamon számítva ezek a tételek jóval magasabbak, mert az unió ezeket az összegeket a kifizetéskor fel fogja szorozni a feltételezett 2 százalékos inflációval).",5,3,168,Index,"(At today's rate, these items are much higher, because the Union will multiply these amounts by the assumed inflation of 2% at the time of payment).",NEUTRAL,8.745603736315388e-6,1.6668801254127175e-4,0.9949392080307007,0.004885329399257898
"A Brüsszelben működő Bruegel Intézet magyar munkatársa, Darvas Zsolt alapos angol nyelvű elemzést készített a helyreállítási alap felhasználásáról, s ebben megtalálhatjuk, hogy évente mekkora vissza nem térítendő támogatást kaphatunk, ha végre lemondunk a vétóról, s mekkora mértékű hitelt vehetünk fel, ha akarunk. Darvas Zsolt segítségével, aki a Corvinus Közgazdaságtani Intézetében is dolgozik, megnéztük, mennyire érné meg nekünk az NGEU-s támogatás vagy az NGEU-hitel felvétele.",6,3,484,Index,"The Hungarian colleague of the Bruegel Institute in Brussels, Zsolt Darvas prepared a thorough analysis of the use of the recovery fund in English, in which we can find the amount of grants we can get annually, if we finally renounce the veto and how much credit we can buy up if we want. With the help of Zsolt Darvas, who also works at the Corvinus Institute of Economics, we looked at how much the NGEU grant or the NGEU loan would be worth it to us.",NEUTRAL,2.108923581545241e-6,3.228519926778972e-4,0.9985488057136536,0.0011261777253821492
"A 750 milliárdos, hét csomagból álló NGEU előteremtéséhez az uniónak kötvényeket kell kibocsátania, s hitelt kell felvennie a piacról. A 390 milliárdos tételt a tagországok támogatásként kapják – Darvas Zsolt számításai szerint mai áron a mi vissza nem térítendő, lehívható támogatásunk 8,24 milliárd eurót tesz ki. Ugyanakkor a támogatások forrásául szolgául EU-s hitelt később közösen fizetik vissza a tagállamok 2027 és 2058 között.",7,3,435,Index,"In order to raise the 750-billion NGEU with seven packages, the EU must issue bonds and take out loans from the market. The 390 billion HUF item is given to the Member States as a subsidy — according to Zsolt Darvas's calculations, our non-refundable, callable support amounts to 8.24 billion euros at today's price. At the same time, the EU loan as a source of aid will later be jointly repaid by Member States between 2027 and 2058.",NEUTRAL,0.01229109987616539,0.35263434052467346,0.6152461171150208,0.01982841268181801
"De akkor miért is érné meg pusztán gazdasági szempontból Magyarországnak a részvétel? Azért, mert a támogatások elosztásában fajsúlyos szerepet kap az egy főre jutó jövedelem, és mivel ez nálunk jóval az uniós átlag alatt van, így a gazdaság méretéhez képest sok uniós forrás kapnánk az NGEU-ból. Ugyanakkor Magyarországnak később olyan arányban kell hozzájárulnia a visszafizetéshez, amilyen arányban az EU bruttó nemzeti össztermékéből (GNI) részesedik. Mivel ez az arány Magyarország esetében rendkívül alacsony, így várhatóan sokkal kevesebbet kell majd visszafizetnie, mint amennyit most kapna.",8,3,599,Index,"But why would it be worth the participation of Hungary from a purely economic point of view? Because per capita income plays a major role in the distribution of subsidies, and because it is well below the EU average, we would receive a lot of EU funding from the NGEU compared to the size of the economy. However, Hungary will later have to contribute to the repayment in the proportion of its share of the EU's gross national product (GNI). Since this rate is extremely low for Hungary, it is expected that you will have to repay much less than you would now receive.",NEGATIVE,0.024127710610628128,0.8285302519798279,0.1449143886566162,0.002427662257105112
"Még tisztábban: ha nincs magyar–lengyel vétó, és végre elfogadják az unió hétéves költségvetését a helyreállítási alappal együtt, akkor Magyarország sokkal nagyobb arányban részesül az NGEU támogatási keretéből, mint amilyen arányban hozzá kell majd járulnia ugyanezen adósság visszafizetéséhez.",9,3,295,Index,"Even more clearly: if there is no Hungarian-Polish veto and the EU's seven-year budget is finally adopted together with the Recovery Fund, Hungary will benefit from a much greater proportion of the NGEU funding framework than it will have to contribute to repayment of the same debt.",NEUTRAL,0.002792586572468281,0.0049084387719631195,0.7141416668891907,0.2781572937965393
"Itt tehát nem érvényesülhet Orbán Viktor azon logikája, hogy ezzel adósságba verjük magunkat, és a 390 milliárdos keret ránk eső részének visszafizetésekor mi rosszul járhatunk.",10,3,177,Index,"Therefore, Viktor Orbán's logic to beat ourselves into debt cannot prevail here, and we may be wrong when we repay our share of the 390 billion HUF envelope.",NEUTRAL,9.153160499408841e-5,0.005849038250744343,0.915625274181366,0.07843413949012756
"Hogy mennyivel lenne drágább, ha uniós hitel helyett a piacról finanszíroznánk magunkat? Ez ügyben tiszta vizet önt a pohárba, hogy az Államadósság Kezelő Központ 10 és 30 éves futamidejű, euróalapú kötvényt bocsátott ki november közepén:",11,3,238,Index,"How much more expensive would it be if we financed ourselves from the market instead of EU credit? In this case, you pour clean water into the glass that the Debt Centre issued Euro-based bonds with a maturity of 10 and 30 years in mid-November:",NEUTRAL,0.07175784558057785,0.11682107299566269,0.7919116020202637,0.019509458914399147
"Az unió által kínált hitel főnyeremény ehhez képest, hiszen az például a 30 éves futamidőn 1,5 százalékponttal alacsonyabb kamatot jelentene.",12,3,141,Index,"The loan offered by the EU is the main prize, as it would mean, for example, an interest rate of 1.5 percentage points lower than 30 years.",NEUTRAL,3.7309175240807235e-5,2.477745583746582e-4,0.9289518594741821,0.07076305150985718
"Itt tehát sántít Orbán Viktor múlt heti reakciója, miszerint Magyarország saját erejéből, uniós segítség nélkül is megoldja a következő évek finanszírozását. Bár valószínűleg tudnánk a nemzetközi piacról hitelt felvenni, így ebből a szempontból át tudnánk vészelni a helyzetet uniós hitel nélkül is, csak éppen sokkal magasabb kamatkiadások mellett.",13,3,349,Index,"Viktor Orbán's reaction last week to the fact that Hungary will solve the financing of the coming years on its own resources, even without EU assistance, is limping here. Although we would probably be able to borrow from the international market, we would be able to get through the situation from this point of view even without EU credit, only with much higher interest rates.",NEUTRAL,3.190924326190725e-5,0.006557934917509556,0.9834516048431396,0.009958638809621334
"Ha Orbán Viktor meggondolná magát vétóügyben, akkor ebből a 360 milliárdos NGEU-hitelkeretből Magyarország maximum 8,91 milliárd eurót tudna felvenni nulla százalék körüli kamattal. (A Bruegel Intézet munkatársa egyrészt itt az alapján számolt, hogy 2018-as áron a tagországok maximum a bruttó hazai össztermékük 6,8 százalékáig vehetnek fel hitelt, illetve hogy minden bizonnyal az a 17 ország venné fel kölcsönt, amely korábban a SURE elnevezésű alapból is felvett, vagyis tényleg rászorul.)",14,3,493,Index,"If Viktor Orbán changed his mind in a veto case, Hungary would be able to raise a maximum of EUR 8.91 billion from this 360 billion NGEU credit facility at an interest rate of around zero percent. (On the one hand, the staff of the Bruegel Institute calculated here on the basis of the fact that at 2018 prices Member States can borrow up to 6.8 percent of their gross domestic product, and that the 17 countries that previously borrowed from the SURE fund would probably take out loans, i.e. in need.)",NEUTRAL,0.028426693752408028,0.3359285593032837,0.6334900856018066,0.0021546948701143265
"Mindezek fényében Orbán Viktornak lehetnek gazdaságpolitikailag értelmezhető érvei arra, hogy miért ne ejtse a jogállamisági mechanizmus miatt bejelentett vétót, ám ezeket egyelőre nem ismerjük.",15,3,194,Index,"In light of all this, Mr. Orbán may have economic politically interpreted arguments as to why he should not drop the veto announced for the rule of law mechanism, but we do not know them yet.",NEUTRAL,0.007082028314471245,0.0673179030418396,0.8469961881637573,0.07860388606786728
"
                          (Borítókép: Orbán Vikor. Fotó: Miniszterelnöki Sajtóiroda / Benko Vivien Cher)
",16,3,130,Index,"
(Bookcover: Orbán Vikor. Photo: Prime Minister's Press Office/Benko Vivien Cher)",NEGATIVE,0.009387994185090065,0.5338780283927917,0.44096001982688904,0.015773985534906387
Lengyelország továbbra is  kész megvétózni az uniós költségvetést – mondta Mateusz Morawiecki lengyel miniszterelnök Angela Merkel német kancellárral tartott online megbeszélésén az MTI szerint. ,1,4,195,Index,"Poland is still ready to veto the EU budget — Mateusz Morawiecki, Polish Prime Minister told MTI at an online meeting with German Chancellor Angela Merkel.",NEUTRAL,0.003179567400366068,0.34460291266441345,0.642170250415802,0.01004739198833704
"A miniszterelnök Facebookon közzétett beszámolójában aláhúzta: az a közös siker, amellyel a júliusi uniós állam- és kormányfői csúcstalálkozó költségvetési tárgyalásai végződtek,",2,4,178,Index,"In a statement published on Facebook, the Prime Minister underlined that the joint success that ended the budget negotiations of the EU Heads of State and Government Summit in July,",NEUTRAL,0.003943085670471191,0.01991223730146885,0.9528887271881104,0.023255983367562294
"„megfelelő, az összes EU-tagállam által megerősítendő"" jogi előírásokban kell, hogy testet öltsön.",3,4,98,Index,"“appropriate, to be confirmed by all EU Member States” should take the form of legal requirements.",NEUTRAL,0.17183850705623627,0.18613064289093018,0.6278373003005981,0.014193622395396233
"A lengyel kormányfő ugyanakkor azt is jelezte, hogy országa továbbra is kész megvétózni az EU költségvetését, amennyiben ",4,4,121,Index,"At the same time, the Polish Prime Minister also indicated that his country is still ready to veto the EU budget if",NEUTRAL,3.341804549563676e-4,0.020996425300836563,0.973246693611145,0.005422748159617186
"Kiemelte továbbá, hogy Lengyelország várja a költségvetésről szóló európai uniós tárgyalások folytatását, és gyors eredményre számít, valamint arra, hogy",5,4,153,Index,He also stressed that Poland is looking forward to continuing negotiations with the EU on the budget and expects a swift outcome and that,NEUTRAL,6.374676013365388e-4,0.17558987438678741,0.8177436590194702,0.0060290247201919556
garantálni fogják a tagállami jogokat és tiszteletben tartják az uniós alapszerződésekben foglalt eljárásokat.,6,4,110,Index,guarantee Member States' rights and respect the procedures laid down in the EU Treaties.,NEUTRAL,3.2284606277244166e-6,3.15589684760198e-4,0.9993993043899536,2.8188261785544455e-4
"Hozzátette: Az elsődleges jogot rögzítő alapszerződések magasabb rendűek minden másodlagos mechanizmusnál, így azoknál is, amelyeket az uniós intézmények jelenlegi javaslatai tartalmaznak.  Lengyelország szempontjából ez képezi a további uniós tárgyalások alapját és kiindulópontját – fejtette ki. ",7,4,298,Index,"He added that the basic treaties fixing primary law are higher than all secondary mechanisms, including those contained in the current proposals of the EU institutions. From Poland's point of view, this is the basis and starting point for further EU negotiations, he explained.",NEUTRAL,9.974303975468501e-5,0.03705909475684166,0.9290339350700378,0.03380722180008888
"A miniszerelnök azt írta továbbá a jelenlegi költségvetési feltételrendszerről, hogy az „nincs jóváhagyva, és nem is lehet jóváhagyni"". ",8,4,136,Index,The Mini Minister also wrote about the current budgetary conditionality that it is 'not approved and cannot be approved'.,NEUTRAL,7.200743857538328e-5,4.486259713303298e-4,0.9529426097869873,0.04653674736618996
"A költségvetési csomag feltételrendszeréről szóló jelenlegi tervezet nem garantálja a jogbiztonságot, kritériumai általánosak, és nagyon széles értelmezést tesznek lehetővé",9,4,172,Index,"The current draft on the conditionality of the budget package does not guarantee legal certainty, its criteria are general and allow for a very wide interpretation",NEUTRAL,4.220622213324532e-5,0.0012694778852164745,0.9966276288032532,0.0020606338512152433
– szögezte le a lengyel kormányfő.,10,4,34,Index,— the Polish Prime Minister stated.,NEUTRAL,5.443009431473911e-4,0.07271376997232437,0.9182758927345276,0.008466122671961784
"Hozzátette azt is, hogy a tagállami vétó jogát az EU-ban az összes tagállam „álláspontja és fenntartásai figyelembevételének biztosítékaként"" meg kell őrizni.",11,4,158,Index,He added that the right of veto of the Member States in the EU should be retained as a 'guarantee that all Member States' positions and reservations' are taken into account.,NEUTRAL,0.0016889289254322648,0.06965125352144241,0.9212313294410706,0.0074285417795181274
"Mateusz Morawiecki szóvivője, Piotr Müller pénteken a PAP hírügynökségnek megerősítette: a miniszterelnök az Európai Bizottság elnökének, Ursula von der Leyennek egy újabb, második levelet írt az uniós források jogállamisághoz kötése kapcsán. Amelyben azt hangsúlyozta: Lengyelország ellenzi azokat a mechanizmusokat, amelyek veszélyeztetnék az EU egységét a jövőben.",12,4,367,Index,Mateusz Morawiecki's spokesman Piotr Müller confirmed to the PAP news agency on Friday that the Prime Minister wrote another second letter to the President of the European Commission Ursula von der Leyen concerning the binding of EU funds to the rule of law. In which he stressed that Poland opposes mechanisms that would jeopardise EU unity in the future.,NEUTRAL,2.2219810489332303e-5,0.001301185111515224,0.9940751791000366,0.004601337015628815
"
                          (Borítókép: Donáth Anna. Fotó: Koszticsák Szilárd / MTI)
",1,5,108,Index,"
(Bookcover: Donáth Anna. Photo: Koszticsák Szilárd/MTI)",NEUTRAL,2.5559224013704807e-5,4.2204608325846493e-4,0.9943228960037231,0.005229439120739698
"Magyarország nem fog elfogadni olyan javaslatot, amely Lengyelország számára elfogadhatatlan – jelentette ki Orbán Viktor azon a sajtótájékoztatón, amelyet csütörtök délután tartott lengyel kollégája, Mateusz Morawiecki oldalán arról, hogy az Európai Unió a támogatások kifizetését a jogállamiság elveinek tiszteletben tartásához kötné. A magyar kormányfő felhívta a figyelmet, hogy a vétó nem valamiféle helytelen dolog, hanem az Európai Unió által szentesített törvényes eszköz, és ha egy döntés sérti a magyarok érdekeit, ő vétózni is fog.",1,6,542,Index,"Hungary will not accept a proposal which is unacceptable to Poland, Mr. Orbán stated at a press conference held on Thursday afternoon with his Polish colleague Mateusz Morawiecki, that the European Union should pay subsidies to the rule of law to respect its principles. The Hungarian Prime Minister pointed out that the veto is not some kind of inappropriate thing, but a legal instrument sanctioned by the European Union, and if a decision violates the interests of Hungarians, he will also veto.",NEUTRAL,0.004139184486120939,0.23797041177749634,0.7549003958702087,0.0029900670051574707
"A sajtótájékoztató után kiadott közös nyilatkozatban az szerepel, hogy sem Magyarország, sem Lengyelország nem fogad el olyan javaslatot, amelyet a másik ország elfogadhatatlannak minősít.",2,6,188,Index,The joint statement issued after the press conference states that neither Hungary nor Poland will accept a proposal which the other country considers inadmissible.,NEUTRAL,0.001089880126528442,0.016879485920071602,0.9784262776374817,0.0036043995060026646
"Orbán Viktor szerint egyébként a jogállamisági feltétel nem a jog uralmát (rule of law), hanem a többség uralmát (rule of majority) teremtené meg. Jelezte azt is, hogy számos vitában áll az Európai Unióval (ilyen a migráció és a gender kérdése), ő viszont nem teheti ki az országot annak a kockázatnak, hogy olyan álláspontot képvisel, amelyet a magyar emberek nem akarnak. A vétó hazafias kötelessége volt – fűzte hozzá, azzal, hogy ",3,6,434,Index,"According to Mr. Orbán, the rule of law condition would not create rule of law, but rule of majority rule. He also indicated that he has many debates with the European Union (such as migration and gender), but he cannot expose the country to the risk of taking a position that the Hungarian people do not want. It was the patriotic duty of the veto, he added, saying,",NEUTRAL,8.386172339669429e-6,0.0012128030648455024,0.9978834986686707,8.954084478318691e-4
"Szerinte a magyar álláspont világos, két dolgot, nem lehet összemosni: felelőtlen aki összeköti a politikai vitát a válságkezelés kérdésével, a jogállamisággal összefüggő szabályok megalkotása nem szükséges a válság kezeléséhez.",4,6,228,Index,"According to him, the Hungarian position is clear, two things cannot be confused: it is irresponsible who connects the political debate with the issue of crisis management, and the creation of rules related to the rule of law is not necessary to deal with the crisis.",NEUTRAL,1.1504058056743816e-4,0.0024976443964987993,0.9875931143760681,0.009794194251298904
"Mateusz Morawiecki lengyel miniszterelnök azt mondta, hogy új kihívás előtt állnak. A lengyel kormányfő arról beszélt, hogy a júliusi csúcs egész Európa sikerével zárult, de most egy teljesen új mechanizmus előtt áll az unió, és ezzel az önkényes mechanizmussal az egész EU is széteshet – mutatott rá. Ez a rendelet a költségvetésre vonatkozik, miközben egyéb eszközöket is behoz – tette hozzá.",5,6,394,Index,"Polish Prime Minister Mateusz Morawiecki said that they are facing a new challenge. The Polish Prime Minister said that the July summit ended with the success of the whole of Europe, but now the EU is facing a completely new mechanism, and with this arbitrary mechanism the whole EU could fall apart, he pointed out. This regulation applies to the budget, while also imitating other instruments, he added.",NEUTRAL,1.240988785866648e-5,0.007992754690349102,0.9890974760055542,0.0028974341694265604
"Emlékeztetett arra is, hogy a német elnökség nem alkalmazkodott a júliusban megfogalmazott alkuhoz. Rávilágított: 27 ország különféle jogrenddel és hagyománnyal rendelkezik, és ezt értékelni kellene. A vétó joga benne van a szerződésekben, és ez azt szolgálja, hogy tudjunk foglalkozni a saját érdekeinkkel.",6,6,307,Index,"He also recalled that the German Presidency had not adapted to the bargain made in July. He highlighted that 27 countries have different legal orders and traditions, and this should be appreciated. The right of veto is in the treaties, and it serves to deal with our own interests.",NEUTRAL,1.329973656538641e-5,8.889473974704742e-5,0.9996373653411865,2.6042910758405924e-4
"Mateusz Morawiecki arról is beszélt, hogy egy soha véget nem érő vita lehet a jogállamisági ügyekből, az ilyen feltételrendszer egy eszköz lehet arra, hogy támadjanak más országokat. Úgy fogalmazott: ez az út az unió szétveréséhez vezethet. ",7,6,241,Index,"Mateusz Morawiecki also said that a never-ending debate could be about the rule of law issues, such a set of conditionalities could be an instrument for attacking other countries. He said that this path could lead to the destruction of the Union.",NEUTRAL,1.4858042413834482e-4,0.1021527573466301,0.8936392068862915,0.004059451632201672
"Morawiecki szerint képesek lesznek meggyőzni egyre több uniós országot az igazukról. A volt portugál külügyminisztert említette példaként, aki azt mondta, hogy Lengyelországnak és Magyarországnak lehet igaza. Kiemelte: az unió egységét és az országok szuverenitását is meg kell védeni, mert mint fogalmazott, az unió egy közösség. Hozzátette: Lengyelország és Magyarország az egész unió javára dolgozik. ",8,6,404,Index,"According to Morawiecki, they will be able to convince more and more EU countries that they are right. He referred to the former Portuguese Foreign Minister as an example, who said that Poland and Hungary could be right. He stressed that the unity of the Union and the sovereignty of the countries must also be protected, because, as he said, the union is a community. He added that Poland and Hungary are working for the benefit of the whole Union.",NEUTRAL,5.854570772498846e-4,0.10895304381847382,0.8884925246238708,0.001968924654647708
"Magyarországon az új fertőzöttek száma az utóbbi napokban három- és ötezer között volt, a fertőzésszám mérséklődik, vagy legalábbis konstans. A fertőzésszámra vonatkozó mai adatok azért jóval magasabbak, mert megkezdődött a tömeges tesztelés, így egész hivatásrendeket tesztelnek. A kormány a járványhelyzet értékelése miatt hetente ülésezik, tegnapi ülésén is áttekintette a járványhelyzetet és a gazdasági helyzetet, és arra a döntésre jutottak, hogy ",1,7,453,Index,"The number of new infected people in Hungary has been between three and five thousand in recent days, and the number of infections is decreasing, or at least constant. Today's data on infection numbers are much higher because mass testing has begun, so whole professional orders are being tested. The government meets on a weekly basis for the assessment of the epidemic situation, and at its meeting yesterday it reviewed the epidemiological situation and the economic situation, and it was decided that",NEUTRAL,3.23935120832175e-4,0.09402213990688324,0.9034101963043213,0.0022437593434005976
"az eddigi intézkedések elégségesek,",2,7,35,Index,"the measures taken to date are sufficient,",NEGATIVE,0.18827180564403534,0.44033578038215637,0.36220046877861023,0.009191916324198246
tehát a jövő heti újabb kormányülésig nem lesz szigorítás – mondta Gulyás Gergely Miniszterelnökséget vezető miniszter a harmadik online megtartott Kormányinfón.,3,7,161,Index,so there will be no tightening until next week's next government meeting — Gulyás Gergely Minister of Prime Minister's Office said at the third online Government Info.,NEUTRAL,5.097311805002391e-4,0.0802040621638298,0.9111416935920715,0.008144518360495567
"A tömeges tesztelés eredményeit a jövő héten egységesen is nyilvánosságra fogják hozni – hangsúlyozta a miniszter. Az idősek vásárlási idősávjáról pedig azt mondta, az annyiban tér el a tavaszi normától, hogy bár ",4,7,213,Index,"The results of mass testing will be published uniformly next week, the minister stressed. And about the shopping time bar for the elderly, he said that it was a deviation from the spring norm in the sense that although",NEUTRAL,0.021004216745495796,0.020658928900957108,0.9077736139297485,0.0505632646381855
"rendelkezésre áll egy védett vásárlási idősáv az időseknek, ők bármikor vásárolhatnak.",5,7,86,Index,"a protected shopping time bar is available for elderly people, they can shop at any time.",NEUTRAL,0.0017985113663598895,0.05095256119966507,0.9418001174926758,0.00544879212975502
"Gulyás Gergely arról is beszámolt, hogy ma Budapesten tárgyal Mateusz Morawiecki lengyel kormányfő. A találkozó fő témája Magyarország és Lengyelország vétója arra az uniós javaslatra, amely a jogállamisági kritériumokhoz kötné az EU-támogatások kifizetését.",6,7,258,Index,Gergely Gulyás also reported that today Polish Prime Minister Mateusz Morawiecki is negotiating in Budapest. The main theme of the meeting is the veto of Hungary and Poland on the EU proposal to link the payment of EU funds to the rule of law criteria.,NEUTRAL,9.8752963822335e-4,0.008477524854242802,0.847979724407196,0.14255523681640625
"A Miniszterelnökség vezetője egyértelművé tette, hogy a magyar kormány álláspontja változatlan ebben a kérdésben, és elutasítja, hogy politikai szempontoktól függjenek a tagállamoknak járó támogatások. Kiemelte: Magyarország négymilliárd eurós támogatást kap az Európai Uniótól, miközben a tagállamok vállalatai hatmilliárd eurót visznek ki az országból.",7,7,354,Index,"The Head of the Prime Minister's Office made it clear that the position of the Hungarian Government on this issue remains unchanged and refuses to make the subsidies due to the Member States dependent on political aspects. He stressed that Hungary receives four billion euros of support from the European Union, while the companies of the Member States carry six billion euros out of the country.",NEUTRAL,0.36831825971603394,0.14238491654396057,0.47983384132385254,0.009462946094572544
"Az uniós támogatások nem tekinthetők könyöradománynak, az együttműködést kölcsönös érdekek határozzák meg, mint ahogy kölcsönös érdekek alapján döntött úgy Magyarország, hogy csatlakozik az Európai Unióhoz – hangsúlyozta a miniszter. Gulyás Gergely emlékeztetett: Soros György cikke a minap egyértelművé tette, hogy a vita a bevándorlásról szól, márpedig ebben a kérdésben világos a magyar kormány álláspontja. Szerinte a magyar társadalom többsége erre adott felhatalmazást a kormánynak, és ragaszkodunk hozzá, hogy ",8,7,517,Index,"EU subsidies cannot be regarded as charity, cooperation is determined by mutual interests, as Hungary decided on the basis of mutual interests to join the European Union, the minister stressed. Gergely Gulyás reminded that György Soros's article made it clear the other day that the debate is about immigration, and the Hungarian government's position on this issue is clear. According to him, the majority of Hungarian society gave authorization to the government, and we insist that",POSITIVE,0.01155895832926035,0.006923291366547346,0.29865238070487976,0.6828653216362
"szabadon dönthessünk arról, kivel szeretnénk együtt élni egy országban, és kivel nem.",9,7,85,Index,we are free to decide who we want to live with in a country and who we don't want to live with.,NEUTRAL,3.560052573448047e-5,0.05655563622713089,0.9186590313911438,0.024749794974923134
