article_text,paragraphs,article,n_characters,news_site,article_text_eng
"Angela Merkel szerint a két elv összehangolása és minden tagország megelégedettségének kiváltása a soros elnökségnek „nagyjából annyira nehéznek bizonyul, mint a kör négyszögesítése”. „Teljes erővel dolgozunk, de a helyzet nagyon óvatosan fogalmazva nem egyszerű” – mondta.",4,2,273,444,"According to Angela Merkel, the coordination of the two principles and the satisfaction of all Member States is 'about as difficult as the quadrature of the circle' for the rotating presidency. “We are working at full force, but the situation is very careful,” he said."
"Azt mondta, egyes tagállamok „azt mondják, hogy nem kötünk kompromisszumot és jottányit sem változtatunk”, de azzal az elvárással fordulnak a soros elnökség felé, hogy „kérlek, juss eredményre”. Szerinte a politika feladata éppen az, hogy megtalálja a mindenkinek elfogadható megoldásokat, de „kompromisszum nélkül ez nem sikerülhet”, ezért minden féltől kompromisszumokra nyitott hozzáállás szükséges.",5,2,402,444,"He said that some Member States 'say that we are not compromising or changing our jots', but they are turning to the Presidency-in-Office with the expectation of 'please get a result'. According to him, the task of politics is precisely to find solutions that are acceptable to all, but 'we cannot do this without a compromise, 'and therefore we need an open approach from all parties to compromise."
"Merkel azt mondta, neki a jogállamiság az „európai projekt alapja”, a jogállamiság értékéről az alapszerződés 2. cikkelye szól, a jogállamiság megsértéséről pedig a 7. cikkely. Szerinte téves az a felfogás, ami szerint a források felhasználásához kapcsolt feltételek révén „a hátsó ajtón becsempészik” a 7. cikkelyben foglaltakat a költségvetési rendeletbe.",6,2,357,444,"Merkel said that for him the rule of law is the “foundation of the European project”, Article 2 of the Treaty on the value of the rule of law and Article 7 on the violation of the rule of law. According to him, the perception that Article 7 is 'smuggled through the back door' into the Financial Regulation by means of conditions linked to the use of resources is erroneous."
"A soros elnökség nagyon sokat dolgozott az Európai Bizottság által előterjesztett rendeleten, amiről az Európai Tanács és az EU Tanácsa főtitkárságának jogi szolgálata is megállapította, hogy „nem mos össze” nem összetartozó dolgokat, a rendelet „nagyon erősen a büdzsére összpontosít” – mondta Merkel, aki szerint az álláspontok kialakításához mindig érdemes alaposan tanulmányozni az adott dokumentumot.",7,2,405,444,"The rotating presidency has worked very hard on the regulation presented by the European Commission, which the legal service of the General Secretariat of the European Council and the Council of the EU noted that “does not merge” things that are not related, the regulation “focuses very strongly on the budget”, he said Merkel, who says that in order to form positions, it is always worthwhile to carefully study the given document."
A magyar és a lengyel kormány két hete közölte: a források felhasználását jogállamisági feltételekhez kapcsoló mechanizmus miatt nem lát lehetőséget az EU-s költségvetés és a helyreállítási alap elfogadására.,8,2,208,444,"The Hungarian and Polish governments announced two weeks ago that due to the mechanism linking the use of funds to rule of law conditions, they do not see the possibility of adopting the EU budget and the recovery fund."
"Pénteken írtunk arról, hogy a magyar és a lengyel kormányfő azt állítja, Merkel a nyáron átverte őket, bár ennek a nyilvános dokumentumokban nincs nyoma, és bár jogi kifogásaik is vannak, a lényeg nem ez: a fő kérdés valójában az, hogy az EU-nak el kell-e viselnie, ha tagállamaiban egypártrendszer épül. (via Politico, MTI)",9,2,324,444,"We wrote on Friday that the Hungarian and Polish prime ministers claim that Merkel cheated them over the summer, although there is no trace of this in public documents, and although they also have legal objections, the point is not that: the main question is whether the EU should endure it if it is a party system in its Member States (via Politico, MTI)"
"Tele van a világsajtó azzal, hogy a magyar és a lengyel kormány meg akarja vétózni az EU költségvetését, és a bele tervezett óriási gazdaságélénkítő csomagot. Csütörtökön a két miniszterelnök találkozóján megerősítették Orbán és Morawiecki véd- és dacszövetségét a vétó ügyében, és világossá tették, hogy ameddig a többi ország és az Európai Parlament nem engedi el a jogállamisági mechanizmus sürgős bevezetését, addig blokkolják az összesen 1800 milliárd euró felszabadítását. ",1,3,479,444,"The world press is full of the fact that the Hungarian and Polish governments want to veto the EU budget and the huge economic recovery package planned into it. On Thursday, a meeting of the two prime ministers confirmed Orbán and Morawiecki's defence and defiance alliances on the veto issue and made it clear that until the other countries and the European Parliament release the urgent introduction of the Rule of Law Mechanism, a total of 1800 billion the release of euro."
"Orbán Viktor csütörtökön azt is elmondta, hogy Magyarországnak nincs szüksége a gazdaságélénkítő csomagból ide eső részre. ""Magyarországnak semmilyen pénzügyi vesztesége nem származik abban az esetben sem, ha nem jön létre az európai válságkezelési alap"" - jelentette ki, és azt is hozzátette, hogy ""tévednek azok az újságírók, jogászok, politikusok, akik azt hiszik, ez pénzügyi kérdés, ugyanis ezt a vitát pénzzel nem lehet megoldani"".",2,3,437,444,"On Thursday, Mr. Orbán also said that Hungary does not need the share of the economic stimulus package. “Hungary will not suffer any financial losses even if the European crisis fund is not established,” he said, adding that “journalists, lawyers and politicians who believe this is a financial issue are wrong, because this debate is not can be solved”."
"A hivatalos magyar kormányzati álláspont tehát az, hogy a pénz nem számít. Ehhez képest a magyar kormány bürokratái szorgalmasan dolgoznak a pénz elosztásán, és erről folyamatosan egyeztetnek az Európai Bizottság illetékeseivel. ",3,3,229,444,"So the official Hungarian government position is that money does not matter. Compared to this, the bureaucrats of the Hungarian government are working diligently on the distribution of money and are constantly discussing it with the European Commission's authorities."
"Ágostházy Szabolcs, az ITM államtitkára egy pénteki konferencián arról beszélt, hogy az egyeztetések jó hangulatúak, előre mutatók, és a politikai viták egyáltalán nem befolyásolják Brüsszel és Budapest együttműködését a pénz elosztási menetéről szóló megbeszéléseken. Megállapításait megerősítették a Bizottság képviselői is.",4,3,326,444,"Szabolcs Ágostházy, Minister of State of the ITM said at a conference on Friday that the discussions are in a good mood, predictive, and political debates do not affect the cooperation of Brussels and Budapest in the discussions on the distribution of money. Its findings were confirmed by the representatives of the Commission."
"Az Európai Bizottság magyarországi képviselete által szervezett online konferencián az is elhangzott, hogy a magyar kormány már egy hete, november 20-án megküldte Brüsszelnek, hogy mire kívánja elkölteni az EU gazdaságélénkítő csomagjából a Magyarországnak járó pénzt. Ezzel a lelkesebb tagállamok közé tartozunk, hiszen a tervek véglegesítésére 2021 április 30. a végső határidő, és vannak országok, amelyek még egyáltalán nem tartanak annyira előre a tervezgetésben, mint a magyar. ",5,3,484,444,"At the online conference organised by the European Commission's representation in Hungary, it was also said that the Hungarian government sent Brussels on 20 November what it intends to spend the money owed to Hungary from the EU's economic recovery package a week ago. This makes us one of the more enthusiastic Member States, since the final deadline for finalising the plans is 30 April 2021, and there are countries that are not as far forward in planning as the Hungarian."
Vagyis a kormányfő tervezett vétója ellenére a magyar államigazgatás gőzerővel dolgozik a pénz elköltéséhez szükséges tervek brüsszeli engedélyeztetésén. ,6,3,154,444,"In other words, despite the Prime Minister's planned veto, the Hungarian government administration is working full force to authorise plans for spending money in Brussels."
"Megkérdeztük Ágostházy államtitkárt, hogy ha a miniszterelnök szerint ""semmilyen veszteség sem érné"" Magyarországot, ha nem kapnánk meg a pénzt, akkor nem érzi-e feleslegesnek a pénz lehívhatóságáért kifejtett munkát. Azt mondta, hogy a miniszterelnöknek teljesen igaza volt, mert ezeket a terveket az EU hozzájárulása nélkül, saját forrásból is megvalósítaná Magyarország, legfeljebb valamivel lassabban. Ezért a tervek nem feleslegesek, és csupa olyan programot írnak össze, amit akkor is megvalósítana a kormány, ha az EU nem adna rá pénzt. ",7,3,544,444,"We asked Secretary of State Ágostházy if the Prime Minister said that “no loss would be worth” Hungary, if we did not receive the money, then the work on the ability to call the money would not be superfluous. He said that the Prime Minister was absolutely right, because without the EU's consent, Hungary would implement these plans from its own resources, at least slightly slower. Therefore, the plans are not superfluous, and they are all putting together a programme that the government would implement even if the EU did not give the money."
"Ugyanakkor a konferencián kiderült, hogy a gazdaságélénkítő alapból Magyarország nyereséggel jönne ki, vagyis Orbán csütörtöki állítása nem volt igaz, amikor azt mondta, hogy semmit sem vesztene az ország. Valójában rengeteg pénzt vesztene.",8,3,240,444,"At the same time, the conference revealed that Hungary would come out of the economic recovery fund with profit, i.e. Orbán's statement on Thursday was not true when he said that the country would lose nothing. Actually, you'd lose a lot of money."
"A gazdaságélénkítő csomagból Magyarországnak kedvezményes hitel és vissza nem térítendő támogatás is járna, viszont a kormánynak be kell szállnia az egész program költségeibe. ",9,3,176,444,"From the economic stimulus package, Hungary would also benefit from preferential loans and grants, but the government would have to contribute to the costs of the whole programme."
"Egy bizottsági szakember számításai szerint Magyarország mintegy 3,4 milliárd euróval, azaz körülbelül 1200 milliárd forinttal többet vehet ki a csomagból, mint amennyit bele kell majd raknia. ",10,3,193,444,"According to the calculations of a Commission expert, Hungary can withdraw some EUR 3.4 billion more from the package than it will have to put in it."
"Ráadásul az EU-s pénz a következő öt-hat évben lenne hozzáférhető, a saját részt viszont csak 2028-tól kellene törleszteni. Illetve a fenti számításban az sincs benne, hogy az EU-tól kapott kedvezményes hitel mennyivel volna olcsóbb, mintha a piaci forrásokat vonna be a magyar kormány. Vagyis ez a bő 1000 milliárd forintos nyereség csak az összes lehívható és egyszer visszafizetendő pénz közti különbséget mutatja, minden egyéb járulékos haszon (kisebb kamat, a 30-as és 40-es évekre maradó törlesztés lehetősége) nélkül.",11,3,524,444,"Moreover, EU money would be available over the next five to six years, but the own share would only have to be repaid from 2028. Nor does the above calculation state how much the preferential loan received from the EU would be cheaper than if the Hungarian government had involved market resources. In other words, this profit of HUF 1000 billion only shows the difference between all the money that can be called back and repaid once, without any other additional benefits (less interest, the possibility of repayment to the 30s and 40s)."
"A magyar kormány úgy számol, hogy összesen 6000 milliárd forint körüli összeget hívna le az EU-tól a gazdaságélénkítő csomagból, ám azt egyelőre nem árulták el, hogy ebből mennyi volna a hitel, és mennyi a vissza nem térítendő támogatás. ",12,3,238,444,"The Hungarian Government expends that a total amount of around HUF 6000 billion is drawn from the EU from the economic stimulus package, but it has not yet been stated how many of these loans and how much grants are."
"Mivel a konferencián a Bizottság emberei mindig euróban, a magyar kormány illetékese viszont mindig forintban említett összegeket, még úgy is nehéz volt összehasonlítani az általuk közölt számításokat, hogy általában hozzátették, hogy 2018-as vagy éppen mai árfolyamon számolnak-e. ",13,3,282,444,"Since at the conference the Commission's people always mentioned the amounts in euros, while the Hungarian government's authority always mentioned in HUF, it was difficult to compare the calculations they made, even if they usually added whether they would count on 2018 or today's rate."
"A pénzt egyébként úgy kell elkölteni, hogy az Európai Bizottság által támogatható reformok valósuljanak meg belőle, és legalább 37 százalékát klímavédelemmel összefüggő, míg legalább 20 százalékát digitalizációval kapcsolatos beruházásokra kell költeni. A magyar terv mindkét előírást bőven teljesíti, zöld célokra 45 százalék feletti, digitalizációsra pedig 24 százalék feletti részt terveztek be. A magyar felosztás így nézne ki:",14,3,431,444,"By the way, the money must be spent in such a way that the European Commission can support reforms, and at least 37 per cent must be spent on climate protection investments and at least 20% on digitisation investments. The Hungarian plan fulfils both requirements, for green purposes above 45 percent and for digitisation more than 24 percent were planned. The Hungarian division would look like this:"
"A nemzeti programokat legkorábban 2021 közepére hagyhatja jóvá az Európai Bizottság, de a magyar kormány arra készül, hogy saját forrásból a programok előfinanszírozását már azelőtt megkezdi, hogy Brüsszelből elkezdenék utalni a programokra a pénzt. Persze ez a menetrend egy olyan esetre vonatkozik, amiben nincs vétó, és lesz költségvetése az EU-nak.",15,3,352,444,"National programmes can be approved by the European Commission not earlier than mid-2021, but the Hungarian Government is preparing to start pre-financing programmes from its own resources before they start transferring money from Brussels to programmes. Of course, this agenda concerns a case where there is no veto and the EU will have a budget."
"Pénteken a tagállamok brüsszeli nagykövetei megvitatták a csütörtöki magyar-lengyel közleményt a vétóról. A megbeszélésről kiszivárgott hírek szerint a többi tagállam közül egyik sem volt nyitott arra, hogy a jogállamisági mechanizmusról szóló vita elölről kezdődjön, vagyis továbbra is patthelyzet van. ",16,3,304,444,"On Friday, the ambassadors of the Member States in Brussels discussed Thursday's Hungarian-Polish communication on the veto. According to the news leaked from the meeting, none of the other Member States was open to the debate on the rule of law mechanism to start again, meaning that there is still a stalemate."
"Több tagállam is jelezte azonban, hogy el kellene kezdeni a tervezgetést, hogyan lehetne kiszervezni a mentőcsomagot az EU költségvetéséből, hogy Magyarország és Lengyelország részvétele nélkül is el lehessen indítani a programokat kormányközi együttműködéssel. Ebben az esetben a fenti hazai programokra nem járna EU-s pénz.",17,3,325,444,"However, several Member States have indicated that planning should be started, how to outsource the rescue package from the EU budget so that the programmes could be launched through intergovernmental cooperation without Hungary and Poland's participation. In this case, the above domestic programmes would not be eligible for EU money."
"
Minden hétköznap elküldjük, amit a járványról tudni érdemes. Iratkozz fel, és vigyázzunk egymásra!
",1,4,100,444,"
Every weekday we send you what you need to know about the epidemic. Sign up and take care of each other!"
"„Két csatatér van most, két frontvonal” - mondta Orbán Viktor péntek reggel az állami rádióban. A két frontvonal: a kórházak és az iskolák. Utóbbi azért fontos, mert munkahelyeket ment meg, hiszen ha a szülő nem tudja beadni a gyereket, akkor otthon kell maradnia, és veszélybe kerül a megélhetése. ",2,4,299,444,"“There are two battlefields now, two front lines,” Mr. Orbán said on the state radio on Friday morning. The two front lines: hospitals and schools. The latter is important because it saves jobs, because if the parent cannot inject the child, he must stay at home and his livelihood is compromised."
"„Ami a kórházakat illeti, ott nem látok egyelőre biztató jeleket”- mondta Orbán, aki optimista ugyan, de nem azért mert egyik napról a másikra javultak volna az adatok, sőt, összességében egyre többen vannak kórházban. ",3,4,219,444,"“As far as hospitals are concerned, I do not see any encouraging signs there yet,” said Orbán, who is optimistic, but not because of the improvement of data overnight, and in fact, more and more people are in hospitals overall."
"„Most az operatív törzs üléséről jövök, és azt látom, hogy mára 9500 magasságában van, tehát el fogjuk érni a tízezer kórházi ágyon fekvő betegszámot hamarosan.”Ha ez így van, az nagyon meglepő, mert csütörtökön még 7500 kórházban fekvő fertőzöttről lehetett tudni a hivatalos adatok alapján. Az pedig nem tűnik reálisnak, hogy egy nap alatt kétezerrel megugrott volna. ",4,4,370,444,"“Now I come from the session of the Operational Tribe, and I see that it is now at 9500, so we will reach the number of patients in the hospital bed to 10,000 soon.”If this is the case, it is very surprising, because on Thursday there were 7500 infested in hospitals, according to official data. And it seems unrealistic that he would have risen by two thousand in a day."
"Lehetséges, hogy Orbán nemcsak a fertőzöttekre, hanem az összes kórházban fekvő betegre gondolt, ideértve a nem koronásokat is? Elképzelhető, bár végig fertőzöttségi számokról, járványadatokról beszélt. (Frissítés 9:50: A kormány közleménye szerint Orbán
a megfigyelés alatt álló, kórházban fekvő, koronavírus gyanús, de még nem igazolt betegeket is számításba vette.) ",5,4,369,444,"Is it possible that Orbán was thinking not only of the infected, but of all the patients in the hospital, including the non-coronants? It's possible, though he's been talking about infection numbers, epidemic data. (Update 9:50: According to the Government's announcement, Orbán
including patients with suspected but not yet confirmed coronavirus under observation in hospitals.)"
NA,6,4,0,444,"NA"
"Szó volt a pedagógusok, szociális és egészségügyi dolgozók szűréséről, amit szerinte „félkatonai rendszerben kell elvégezni”. Szerinte elég kevés tanár utasítja el a tesztelést, így a jövő hét elején általánosan érvényes képünk lehet a fertőzöttségi helyzetről. A tesztelésbe bevont orvostanhallgatókról azt mondta, „nagyon helyesek, romlatlan fiatalok”. ",7,4,355,444,"There was a question of screening teachers, social and health workers, which he said should be done in a “paramilitary system”. According to him, quite a few teachers refuse testing, so we can have a general picture of the contamination situation early next week. About the medical students involved in the test, he said, “very cute, unspoiled young people.”"
NA,8,4,0,444,"NA"
"Kiderült, hogy ha lesz vakcina, 13 ezer helyszínen terveznek oltani, és lehet majd levélben és online is regisztrálni. Arról, hogy karácsonykor milyen járványügyi intézkedések lesznek, még nem tudott mit mondani. ",9,4,213,444,"It turns out that if there is a vaccine, they plan to vaccinate at 13,000 sites, and it will be possible to register by mail and online. About what kind of epidemiological measures will be taken at Christmas, he didn't know what to say."
"A 26 perces interjú első fele a bevándorlásról és Soros Györgyről szólt. A kiindulási alap persze a lengyel-magyar vétó volt, ami miatt nem sikerült elfogadni a következő európai uniós költségvetést és a helyreállítási alapot. A két ország a jogállamisági mechanizmus miatt tiltakozik, csütörtökön közösen megüzenték, hogy nem engednek. ",10,4,337,444,"The first half of the 26-minute interview was about immigration and George Soros. The starting point was, of course, the Polish-Hungarian veto, which led to the failure to adopt the next EU budget and the recovery fund. The two countries are protesting because of the Rule of Law Mechanism, and they sent a message on Thursday that they will not allow."
"„Én nem akarok kompromisszumot kötni” - mondta Orbán, hanem megoldást szeretne. „A mi pozíciónk betonszilárdságú”, a többiekén viszont lehet változtatni, mert szerinte az csak politikai alapú. Majd előhúzta az utóbbi időben többször ismételt magyarázatot, miszerint a jogállamisági mechanizmus valójában a bevándorlásról szól. „Magyarország a magyaroké” - vette át a szélsőjobboldali Jobbik 2009-es szlogenjét. ",11,4,411,444,"“I do not want to compromise,” Orbán said, but wants a solution. “Our position is concrete strength”, but the others can be changed because he believes it is only political. He then pulled out the recent repeated explanation that the rule of law mechanism is actually about immigration. “Hungary is the Hungarians” - took over the far-right Jobbik's 2009 slogan."
"
Pedig a jogállamisági kritériumokat nem a bevándorláshoz, hanem valahogy mindenképpen az EU-s pénzekhez kell kötni a most érvényes megállapodás szerint.. Nem evidens, ebbe hogy tartozhat bele a bevándorlás. ",12,4,208,444,"
However, the rule of law criteria must not be linked to immigration, but somehow to EU money under the agreement that is now in force. It's not evident how immigration can be included."
"„Szövi mint pók a hálót” - mondta Sorosról, aki „jobb lenne, ha hazamenne” Amerikába.",13,4,85,444,"“Waves like a spider on the net,” said about Soros, who “it would be better to go home” to America."
NA,14,4,0,444,"NA"
"Magyari Péter péntek reggeli elemzésében részletesen ír a helyzetről. Ebből kiderül, hogy a jogállamisági szabályozásról szóló, ősszel elkészült tervezet megegyezik a júliusban rögzített elvekkel, amibe még Magyarország és Lengyelország is belement. Szerintük a két dolog nem ugyanaz, és látszólag azon megy a vita, hogy ha úgy kezdünk egy mondatot, hogy „mindennek fényében”, akkor az visszautal-e az előzőre.",15,4,410,444,"Péter Magyari writes about the situation in detail in his Friday morning analysis. This shows that the draft on the rule of law regulation, which was completed in the autumn, corresponds to the principles set out in July, which even Hungary and Poland agreed to. According to them, the two things are not the same, and apparently the argument is that if you start a sentence 'in light of all', it goes back to the previous one."
"A vita valódi tétje, hogy az EU-nak el kell-e viselnie, ha tagállamaiban egy rendszerváltással felérő új politikai struktúra épül.",16,4,130,444,The real stake in this debate is whether the EU will have to endure a new political structure in its Member States compromising a change of regime.
"""Tehát a következő hónapokat - a történelemben nem ismeretlen módon - ismét közösen fogjuk majd megvívni"" - mondta Orbán Viktor csütörtök délután, miután a közös vétóról tárgyalt lengyel kollégájával. ",1,5,201,444,"“So the coming months will be fought jointly again - not unknown in history -” Mr. Orbán said on Thursday afternoon, after discussing the joint veto with his Polish colleague."
"Orbán hónapokról beszélt - ami azt jelenti, hogy szerinte nem várható megoldás sem napokon belül, sem pedig a december 10-i EU-csúcson a költségvetési vitában. A napokon belüli megoldást a német külügyminiszter, a decemberit pedig a legtöbb EU-s diplomata remélte eddig. ",2,5,271,444,"Orbán talked about months - which means that no solution can be expected either within days or at the EU summit on 10 December in the budget debate. An in-day solution was hoped for by the German Foreign Minister, and December by most EU diplomats."
"Illetve egy kiutat hagyott a két ország kormányfője: ha a többiek, azaz 25 másik ország és az Európai Parlament lemond a jogállamisági mechanizmus bevezetéséről, és a vitát az ismeretlen jövőbe tolják.",3,5,201,444,"The Heads of Government of the two countries left one way out: if the others, 25 other countries and the European Parliament, renounce the implementation of the rule of law mechanism and push the debate into the unknown future."
"A magyar és a lengyel álláspont egyik fontos kiindulópontja az, hogy Angela Merkel átverte Orbánt és Morawieckit egy hosszúra nyúlt
júliusi hétvégén. ",4,5,150,444,"An important starting point for the Hungarian and Polish position is that Angela Merkel tricked Orban and Morawiecki for a long
July weekend."
"Akkor egy csütörtöktől keddig tartó csúcstalálkozón állapodtak meg a tagállamok vezetői Brüsszelben az EU következő hét évének költségvetéséről, és egy belefoglalt óriási gazdaságélénkítő csomagról, azaz összesen 1800 milliárd euró elköltéséről. ",5,5,246,444,"At a summit from Thursday to Tuesday, the leaders of the Member States agreed in Brussels on the EU budget for the next seven years and on a huge economic recovery package that included a total of EUR 1800 billion."
"Az akkori vita egyik része arról szólt, hogy mi legyen az Európai Bizottság egy 2018-as javaslatával, ami szerint minden EU-s kifizetést egy jogállamisági mechanizmushoz kellene kötni, azaz a demokratikus rendszert leépítő kormányoktól meg lehessen vonni a közös pénzt. A júliusi csúcs idejére már lehetett tudni, hogy az Európai Parlament és az EU-s költségvetés nagy befizetőinek számító tagállamok ragaszkodnak egy ilyen szabályhoz. Ám a szabály részleteit akkor nem vitatták meg, csak az elvet rögzítették, hogy lesz majd ilyen is. ",6,5,536,444,"One part of the debate at that time was about what to do with the European Commission's 2018 proposal that all EU payments should be linked to a rule of law mechanism, in other words governments that cut down the democratic system can be withdrawn from the common money. During the July summit, it was already known that the European Parliament and the Member States, which are large contributors to the EU budget, are adhering to such a rule. However, the details of the rule were not discussed at the time, only the principle that there would be such a case."
Egészen pontosan így rögzítették: ,7,5,34,444,This is exactly how it was recorded:
"A magyar és a lengyel kormány azt állítja, hogy ezt az egyezséget a többiek, élükön a Tanácsot ebben a félévben vezető német kormánnyal megszegték. A többi tagállam - a bizonytalan álláspontot képviselő Szlovénia kivételével - azt állítja, hogy Orbán és Morawiecki gondolták meg magukat azóta, mert ők mindent pont annak szellemében intéztek, ahogy abban a nyáron megállapodtak. Ezt képviselte az Európai Bizottság elnöke is szerda reggeli EP-s beszédében. ",8,5,457,444,"The Hungarian and Polish Governments claim that this agreement was violated by the others, headed by the German government leading the Council this semester. The other Member States, with the exception of Slovenia, claim that Orbán and Morawiecki have changed their minds since then, because they have done everything exactly in the spirit that they agreed that summer. This was also represented by the President of the European Commission in his EP speech on Wednesday morning."
"Ősszel a Tanács vezetése és a Parlament megegyezett a részletekben, elkészült a jogállamisági mechanizmusról szóló szabályozás tervezete, amely a fentiek szerint ",9,5,162,444,"In the autumn, the Council's leadership and Parliament agreed on the instalments, a draft regulation on the rule of law mechanism was completed, which, as described above,"
"Pont úgy, mint a nyári alkuban áll. Múlt hétfőn a 27 tagállamból 25 jelezte hivatalosan is, hogy számukra a tervezet megfelel. Csak Magyarország és Lengyelország állította, hogy szerintük a nyáron nem ebben állapodtak meg.",10,5,222,444,"Just like the summer deal. Last Monday, 25 out of the 27 Member States formally indicated that the draft was in line with them. Only Hungary and Poland claimed that they did not agree on this in the summer."
